Task ID,Task Description,Tools / Methods,Owner,Status,Priority
M1,"Finalise feature list and taxonomies (run_type, family, etc.) with Artistic & Marketing.",Workshops; Google Sheets; tagging in dim_production.,Analytics + Artistic + Marketing,in progress,high
M2,"Design unified data model (dims/facts) for ticketing, productions, venues, seasons.",SQL; dbt or equivalent; warehouse schema design.,Analytics / IT,not started,high
M3,Ingest and clean historical performance-level ticketing data.,SQL; Python (pandas); ETL tools.,Analytics,in progress,high
M4,Connect CRM and marketing platforms for campaign metrics.,Platform APIs; CSV imports; Python integration scripts.,Marketing + Analytics,not started,medium
M5,"Assemble external macro, weather, and events datasets for Calgary/Edmonton.",Python scripts; API downloads; manual curation where needed.,Analytics,not started,medium
M6,Implement show-level feature engineering pipeline.,Python; dbt; possible feature store.,Analytics,not started,high
M7,"Define target variables and evaluation metrics (MAE, RMSE, R²) and document them.",Analytical design; internal documentation.,Analytics + Executive,in progress,high
M8,"Develop baseline models for demand forecasting (GLM, random forest, gradient boosting, PyCaret).","Python (scikit-learn, XGBoost, PyCaret).",Analytics,not started,medium
M9,Implement back-testing framework across past seasons.,Time-series-aware CV; MLflow or similar tracking.,Analytics,not started,high
M10,"Perform model interpretability analysis (feature importance, SHAP).",SHAP; permutation importance; partial dependence plots.,Analytics,not started,medium
M11,Build or extend internal forecasting UI (Streamlit app) for title scoring and scenario analysis.,Python; Streamlit; existing Alberta Ballet apps.,Analytics,in progress,high
M12,"Create and maintain project documentation (data dictionary, feature glossary, leakage controls).",Confluence or similar wiki; version-controlled docs.,Analytics,not started,medium
M13,Set governance and review cadence for model results with leadership.,Standing meetings; dashboard reviews.,CEO / Analytics,not started,medium
M14,Establish monitoring for forecast vs actual performance and define retraining triggers.,Dashboards; automated KPI checks; retrain schedule.,Analytics,not started,medium
