Pipeline Type,Pipeline Name,Description,Inputs,Outputs,Frequency,Owner,Status
Data,Sales Data Ingestion,Ingest and clean show- and performance-level ticketing data into analytics warehouse.,"Ticketing DB, history_city_sales.csv","fact_sales_show, fact_sales_performance",Weekly / after runs,Analytics,in development
Data,Production Metadata Ingestion,"Load production, season, and venue metadata into dimension tables.","Ticketing event setup, production planning sheets","dim_production, dim_season, dim_venue",Seasonal / on change,Analytics / Artistic Admin,in development
Data,Marketing Data Ingestion,"Pull email, digital ads, and budget data into analytics environment.","Email platform, ad platforms, marketing budget spreadsheets","fact_marketing_campaign, dim_campaign",Weekly,Marketing / Analytics,to be designed
Data,External Data Ingestion,"Load macroeconomic, weather, and events data for Calgary and Edmonton.","StatsCan, Alberta Govt, Environment Canada, event calendars","dim_macro, fact_weather, fact_city_event",Monthly/Seasonal,Analytics,to be designed
Data,Feature Engineering – Show-Level,"Build show-level feature set combining production, sales, marketing, schedule, and external features.",facts and dims above,ml_features_show_level,Ad hoc / per retrain,Analytics,to be designed
Data,Target Construction,"Define and compute target variables (e.g., total tickets, load factor) for each production/city.","fact_sales_show, dim_production, dim_season",ml_targets_show_level,Ad hoc / per retrain,Analytics,in development
Data,Train/Test Dataset Build,"Assemble final modelling dataset with features, targets, and time-aware splits.","ml_features_show_level, ml_targets_show_level",dataset_modelling_show_level,Ad hoc / per retrain,Analytics,to be designed
ML,Model Training – Title Demand,Train models predicting show-level ticket demand by city for planned productions.,dataset_modelling_show_level,"model artefacts (e.g., sklearn/XGBoost/PyCaret pipelines)",Quarterly / pre-season,Analytics,in development
ML,Model Validation & Monitoring,"Evaluate model accuracy (MAE, RMSE, R²) and monitor performance over time.","Predictions vs actuals, history_city_sales.csv","Validation reports, monitoring dashboards",After each major run,Analytics,to be designed
ML,Forecast Scoring – Season Planning,Score proposed titles early in season design to inform repertoire decisions.,Planned productions metadata + external baseline data,Demand forecasts per title/city,Seasonal,Artistic Director & Analytics,to be designed
ML,Forecast Scoring – On-Sale,Score confirmed productions before marketing launch using final schedule and capacity.,"Confirmed production metadata, schedule, macro data",Updated demand and revenue forecasts,Per on-sale,Analytics / Marketing,to be designed
ML,Forecast Refresh – In-Run (Optional),Refresh forecasts mid-campaign based on early sales and marketing performance.,"Transaction-level sales, campaign metrics to date",Revised run forecasts and risk flags,Weekly during key runs,Analytics,future / optional
