Segment Label Short,DATA ATTRIBUTE,pop_ip,"classic_romance, classic_comedy, romantic_comedy",contemporary,family_classic,romantic_tragedy,dramatic,INDEX REPORT,Pop Mus Bal,Classic Bal,CM Bill,Family Bal,CSNA,Contemp Narr,Cult Narr,,
cust_cnt,Customers,"15,861","15,294","10,402","14,987","5,800","7,781",Customers,"15,861","15,294","10,402","14,987","5,800","7,869","7,692",,
uid_cnt,Customers with Live Events,"13,813","11,881","8,896","13,051","4,878","6,661",Customers with Live Events,"13,813","11,881","8,896","13,051","4,878","6,921","6,401",,
cust_env_matched_cnt,Customers with Demo (CAN),"14,995","12,832","9,912","13,872","5,605","7,265",Customers with Demo (CAN),"14,995","12,832","9,912","13,872","5,605","7,371","7,158",,
,CLIENT EVENT SUMMARY,,,,,,,CLIENT SUMMARY,,,,,,,,,
,Gender,,,,,,,,,Gender,,,,,,,
gndr_male_ind,Male,44%,47%,46%,56%,42%,,,,Male,107,103,125,95,n/a,n/a,n/a
gndr_female_ind,Female,56%,53%,54%,44%,58%,,,,Female,95,98,80,104,n/a,n/a,n/a
,Age (at Time of Event),,,,,,,Age (at time of Event),,,,,,,,,
client_ev_age_yr,Age,49.6,46.5,51.7,47.2,34.0,47.9,Age,110,103,115,105,76,110,103,,
client_ev_age_18_24,18-24,8%,14%,6%,10%,36%,14%,18-24,137,244,105,179,638,255,238,,
client_ev_age_25_34,25-34,5%,5%,12%,10%,21%,14%,25-34,24,21,55,47,100,67,62,,
client_ev_age_35_44,35-44,26%,23%,12%,27%,21%,23%,35-44,91,82,41,94,75,67,94,,
client_ev_age_45_54,45-54,20%,27%,24%,13%,7%,9%,45-54,111,146,129,73,39,26,73,,
client_ev_age_55_64,55-64,26%,19%,25%,31%,14%,15%,55-64,195,143,184,229,107,121,100,,
client_ev_age_65_plus,65+,15%,13%,22%,9%,0%,26%,65+,115,99,173,72,n/a,243,155,,
,Client Events Purchased (Lifetime),,,,,,,Client Events Purchased (Lifetime),,,,,,,,,
client_event_cnt_00,Never Purchased,25.9%,23.2%,28.0%,24.9%,33.5%,28.6%,Never Purchased,49,44,53,47,64,50,59,,
client_event_cnt_01,1 Event,43.2%,39.1%,38.2%,43.1%,33.0%,40.1%,1 Event,120,108,106,119,91,117,105,,
client_event_cnt_02_03,2-3 Events,22.0%,26.1%,22.3%,22.2%,21.4%,21.2%,2-3 Events,242,287,245,244,235,237,229,,
client_event_cnt_04_05,4-5 Events,5.7%,7.3%,7.1%,6.2%,6.7%,5.8%,4-5 Events,369,469,457,398,433,367,380,,
client_event_cnt_06_10,6-10 Events,2.8%,3.9%,4.0%,3.2%,4.6%,3.7%,6-10 Events,461,643,658,527,767,603,633,,
client_event_cnt_11_plus,11+ Events,0.3%,0.4%,0.5%,0.4%,0.8%,0.5%,11+ Events,607,802,918,704,1554,881,1070,,
,Client Events Spend (Lifetime),,,,,,,Client Events Spend (Lifetime),,,,,,,,,
client_spend_0_250,≤ $250,64.7%,58.4%,66.6%,64.5%,67.7%,65.3%,≤ $250,79,72,82,79,83,79,82,,
client_spend_251_500,$251-$500,19.8%,21.4%,17.0%,18.9%,15.7%,18.4%,$251-$500,161,173,138,153,127,159,140,,
client_spend_500_1000,$501-$1000,11.2%,13.8%,11.1%,11.4%,10.7%,11.1%,$501-$1000,237,293,236,242,227,240,233,,
client_spend_1001_2000,$1001-$2000,3.6%,5.4%,4.5%,4.5%,4.9%,4.2%,$1001-$2000,301,444,369,369,404,334,367,,
client_spend_2001_plus,$2001+,0.6%,1.1%,0.8%,0.8%,1.1%,0.9%,$2001+,321,565,438,423,560,535,470,,
,Share of Wallet,,,,,,,Share of Wallet,,,,,,,,,
client_spend_sow,Client Events,26%,35%,28%,31%,27%,27%,Client Events,131,176,137,157,136,135,132,,
non_client_spend_sow,Non-Client Events,74%,65%,72%,69%,73%,73%,Non-Client Events,92,81,91,86,91,91,92,,
,Lifetime Spend,,,,,,,Lifetime Spend,,,,,,,,,
client_sp,Client Events,$268,$325,$273,$285,$274,$277,Client Events,194,235,198,206,199,205,196,,
non_client_sp,Non-Client Events,"$2,207","$1,832","$1,916","$1,875","$2,041","$2,247",Non-Client Events,119,99,104,101,110,130,113,,
,Tickets per Event,,,,,,,Tickets per Event,,,,,,,,,
