Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
GUS_CommunityInsights,Heightened_PostCOVID_Inequities,"Pandemic disruptions exacerbated inequities for rural, Indigenous, newcomer, and low-income youth.",4,5,Negative,Social_Inequity,0.98
GUS_CommunityInsights,HubAndSpoke_Model_Aligns_With_Best_Practices,Growing Up Strong’s 'hub-and-spoke' provincial model aligns with emerging best practices for reaching dispersed communities.,2,5,Positive,Service_Delivery,0.95
GUS_CommunityInsights,Cultural_Dance_Improves_Indigenous_Mental_Health,A 2024 study found a 4-week Indigenous dance program bolstered adolescents’ mental health and wellness.,3,5,Positive,Mental_Health,0.97
GUS_CommunityInsights,Dance_As_Emotional_Escape,Indigenous youth reported dance 'helps me escape… makes me feel good… and is really fun.',2,4,Positive,Emotional_Regulation,0.96
GUS_CommunityInsights,Increased_Confidence_In_Indigenous_Youth,Youth expressed 'I can be myself'—indicating confidence and identity strengthening.,2,4,Positive,Identity_Formation,0.96
GUS_CommunityInsights,Improved_School_Attendance,Study showed dance participation led to better school attendance.,1,4,Positive,Academic_Benefits,0.93
GUS_CommunityInsights,Dance_Heals_Intergenerational_Trauma,Powwow dancing helps Indigenous people heal intergenerational trauma and build supportive 'powwow families.',2,5,Positive,Cultural_Healing,0.98
GUS_CommunityInsights,Loss_Of_Cultural_Connection_PostCOVID,COVID-19 worsened mental health disparities and cultural disconnection among Indigenous youth.,2,5,Negative,PostCOVID_Effects,0.97
GUS_CommunityInsights,Newcomer_Youth_Higher_Health_Risks,"Immigrant youth face higher susceptibility to poor mental and overall health due to poverty, trauma, and acculturation stress.",2,5,Negative,Health_Disparities,0.98
GUS_CommunityInsights,High_Interest_Low_Formal_Sport_Participation,"93% of newcomer families chose informal activities (walking, swimming) vs. formal sport.",1,4,Neutral,Participation_Trends,0.92
GUS_CommunityInsights,Newcomer_Barriers_Practical_Not_Motivational,"Newcomer barriers include unfamiliarity with systems, limited time, and income—not lack of interest.",2,5,Neutral,Access_Barriers,0.96
GUS_CommunityInsights,CultureBased_Programs_Support_Integration,Culturally responsive programs reduce isolation and help newcomer kids build friendships and language skills.,3,5,Positive,Social_Inclusion,0.97
GUS_CommunityInsights,Canada_Uses_SportForIntegration,Canada has embedded sport/arts into national integration strategies since the 1990s.,1,3,Positive,Policy_Context,0.9
GUS_CommunityInsights,Rural_Service_Gaps,Rural youth experienced higher mental health hospitalization rates during COVID-19.,2,5,Negative,Rural_Disparities,0.98
GUS_CommunityInsights,HubAndSpoke_Efficient_For_Rural,Hub-and-spoke delivery serves more rural communities with fewer resources.,2,5,Positive,Efficient_Delivery,0.96
GUS_CommunityInsights,Limited_Local_Options_Increase_Issues,Rural youth face limited recreation options and social isolation.,2,4,Negative,Rural_Barriers,0.95
GUS_CommunityInsights,Arts_As_Key_Rural_Intervention,Programs like dance residencies are 'vital' interventions for rural youth well-being.,1,5,Positive,Youth_Development,0.94
GUS_CommunityInsights,Equity_As_PostCOVID_Priority,Literature calls for equity-focused investments so marginalized youth can participate fully.,3,5,Positive,Equity_Framework,0.98
GUS_CommunityInsights,Cost_Transport_Discrimination_Barriers,"Cost, transportation, and discrimination remain core barriers for marginalized youth.",3,4,Negative,Structural_Barriers,0.97
GUS_CommunityInsights,Arts_As_Social_Determinant_of_Health,Arts access is now recognized as a social determinant of health.,2,5,Positive,Public_Health,0.97
GUS_CommunityInsights,CreativityBoosts_Coping_And_Confidence,"Subsidized cultural programming improved youth coping skills, cultural pride, and confidence.",2,5,Positive,Resilience,0.96
GUS_CommunityInsights,Partnering_Across_Sectors,Reaching vulnerable youth may involve health and social services working with arts organizations.,2,4,Positive,Crosssector_Partnerships,0.95
GUS_CommunityInsights,GUS_Aligns_With_Research,Growing Up Strong’s mandate—reducing barriers and targeting underserved youth—aligns closely with post-pandemic recommendations.,2,5,Positive,Program_Strategy,0.98
