Concept,Frequency,Sentiment,Category,Mentions_Cost,Mentions_Time,Mentions_Stakeholders
History of art and culture in economic thought,3,Neutral,Context,No,No,Yes
Art markets and price formation,4,Neutral,Context,Yes,No,Yes
Music markets and evolution of music industries,3,Neutral,Context,No,Yes,Yes
Defining cultural and artistic goods,2,Neutral,Context,No,No,Yes
Value and valuation of art,3,Neutral,Context,Yes,No,Yes
"Art law, copyright, and legal issues",4,Neutral,Risk,Yes,No,Yes
Censorship versus freedom of expression,3,Neutral,Risk,No,No,Yes
Culture and economic performance,3,Positive,Benefit,No,No,Yes
Nonprofit firms in the performing arts,3,Neutral,Context,Yes,No,Yes
Cultural industries and media markets,3,Neutral,Context,Yes,No,Yes
Artistic labour markets and occupational risk,4,Neutral,Risk,Yes,No,Yes
"Auctions, prices, and price indices for art",3,Neutral,Context,Yes,No,Yes
