Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
Calgary_Creative_Industries,High_Economic_Contribution,"Creative industries supported ~24,000 jobs and $2.1B GDP in Calgary CMA.",3,5,Positive,Economic Impact,0.98
Calgary_Creative_Industries,High_Labour_Productivity,"Average labour productivity over $90,000 GDP per job.",1,4,Positive,Economic Productivity,0.95
Calgary_Creative_Industries,Need_for_Local_Estimates,Statistics Canada reporting stops at provincial level; local estimates required.,2,4,Neutral,Data & Measurement,0.92
Calgary_Creative_Industries,Quality_of_Life_Benefits,Creative industries contribute to improved quality of life and civic perception.,2,4,Positive,Social Impact,0.95
Calgary_Creative_Industries,Tourism_Strategic_Link,Tourism Calgary’s strategy relies on attracting premier cultural experiences.,1,4,Positive,Tourism Strategy,0.94
Calgary_Creative_Industries,Untapped_Potential,Sector has room to grow and is sitting on untapped potential.,3,5,Positive,Growth Potential,0.96
Calgary_Creative_Industries,Unified_Strategy_Needed,"Unified strategy among CED, CAD, City, Tourism Calgary, private firms recommended.",4,5,Positive,Governance & Coordination,0.97
Calgary_Creative_Industries,Strategic_Alignment_Federal,Creative Canada policy calls for investment in creators and cultural entrepreneurs.,2,4,Positive,Policy Alignment,0.96
Calgary_Creative_Industries,Benchmarking_Mixed_Performance,"Calgary ranks middle/lower on creative industry indicators; strong in some areas, weak in grants per capita.",5,5,Neutral,Comparative Performance,0.98
Calgary_Creative_Industries,Stakeholders_See_Creative_Industries_As_Priority,Stakeholders recognize creative industries improve quality of life and economic vibrancy.,3,4,Positive,Public Value,0.95
Calgary_Creative_Industries,Emerging_Cluster,Creative industries identified as an emerging cluster in Calgary’s economic strategy.,1,4,Positive,Economic Strategy,0.92
Calgary_Creative_Industries,Funding_Importance,"Sector depends on stable and predictable funding sources, including government.",2,4,Neutral,Funding Conditions,0.94
Calgary_Creative_Industries,Large_Provincial_Impact,"Creative sector supported 28,100 local jobs and 34,200 across province.",2,5,Positive,Economic Impact,0.98
Calgary_Creative_Industries,National_Economic_Impact,Creative sector contributed $3.85B GDP nationwide.,1,5,Positive,National Impact,0.96
Calgary_Creative_Industries,Public_Return_on_Investment,"Sector contributed $566.4M federal, $238.1M provincial, $48.8M municipal taxes.",1,5,Positive,Public Finance,0.97
Calgary_Creative_Industries,Volunteer_and_Community_Support,"Sector depends on contributions including volunteering, corporate support, and tourism.",1,4,Positive,Community Support,0.93
Calgary_Creative_Industries,Creative_Industries_As_Attraction_Tool,Creative industries enhance workforce attraction and business investment.,2,4,Positive,Workforce & Investment,0.95
Calgary_Creative_Industries,Creative_Industries_Improve_Livability,Creative industries help Calgary remain a livable and globally competitive city.,1,4,Positive,City Competitiveness,0.94
