Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
Comeback_Kids,Disruption_Is_Pervasive,"""In all markets and all industries, disruption is pervasive... one in three companies will cease to exist in 5 years, up from one in twenty 50 years ago.""",2,5,Negative,External_Environment,0.98
Comeback_Kids,High_Failure_Rate_of_Transformations,"""Seventy-five percent of major transformation efforts do not achieve their expectations for target value, timing, or both.""",1,5,Negative,Change_Management,0.98
Comeback_Kids,Five_Key_Elements_of_Turnaround,"Report synthesizes five critical elements: (1) clear-eyed diagnosis, (2) redefine strategic focus, (3) restructure to cut cost/complexity, (4) build right culture, (5) invest in digital.",5,5,Positive,Turnaround_Framework,0.99
Comeback_Kids,Clear_Eyed_Objective_Diagnosis,"""Strong leaders get ahead of the problem with an ambitious program to change the company’s trajectory… 'If it ain’t broken, fix it anyway.'""",3,4,Positive,Leadership,0.96
Comeback_Kids,Redefining_Strategic_Focus,"""Leaders need to determine where to play (and where to avoid)… and take action to divest and to acquire and/or invest in new businesses or R&D.""",3,5,Positive,Strategy,0.97
Comeback_Kids,Restructuring_Costs_and_Complexity,"""Turnaround programs require rapid improvements in operations to reduce costs, and they almost always entail changes to the organization and/or operating model.""",3,5,Neutral,Operations,0.96
Comeback_Kids,Culture_of_Speed_and_Openness,"""Turnarounds require speed, innovation, and a culture of openness to change.""",2,4,Positive,Culture,0.95
Comeback_Kids,Digital_As_Necessary_Enabler,"""Even if a company doesn’t think digital is a part of the turnaround strategy, it needs to be… invest in digital technology to improve customer experience, enhance products, increase efficiency, and develop new business models.""",3,5,Positive,Digital_Transformation,0.97
Comeback_Kids,Shareholder_Outperformance,"""Margins of these companies have increased by a weighted average of more than 50% since 2013… they have outperformed the S&P Global 1200 by 46 percentage points.""",2,5,Positive,Shareholder_Value,0.97
,,,,,,,
Comeback_Kids_HSBC,Precrisis_Organizational_Complexity,"HSBC operated in 88 countries with many standalone entities and separate IT systems, leading to a complex operating environment and few economies of scale.",2,4,Negative,Structure_Complexity,0.96
Comeback_Kids_HSBC,Simplification_and_Divestment,"Under the new CEO, HSBC reduced headcount by more than 20% and cut the number of countries from 88 to 67, saving $4.7B by 2016 and an expected $6B by 2017.",3,5,Positive,Cost_Reduction,0.98
Comeback_Kids_HSBC,Capital_and_Risk_Improvement,"HSBC reduced risk-weighted assets by nearly $300 billion, improving capital performance during the turnaround.",1,4,Positive,Capital_Management,0.95
Comeback_Kids_HSBC,Global_Business_Model,"HSBC restructured into four global businesses each led by executives reporting directly to the CEO, supported by globally run support functions, enabling economies of scale.",2,4,Positive,Operating_Model,0.96
Comeback_Kids_HSBC,Digital_Investment_Commitment,"The bank invested $2.1 billion in digital from 2015 to 2020, including automation, mobile customer journeys, analytics, and a Google Cloud partnership.",3,5,Positive,Digital_Transformation,0.97
Comeback_Kids_HSBC,Improved_Dividends_and_Shareholder_Returns,"HSBC is described as a top financial services performer in dividend payouts, with a 42% increase since the turnaround began and $5.5B in share buybacks announced.",2,5,Positive,Shareholder_Value,0.97
Comeback_Kids_HSBC,Focus_on_Middle_Back_Office_Efficiencies,"Most of the $4.7–6B savings came from middle- and back-office functions, indicating focus on support-process efficiency.",2,4,Positive,Process_Efficiency,0.94
,,,,,,,
Comeback_Kids_BMS,Patent_Cliff_Crisis,"BMS lost patent exclusivity for Pravachol (sales down $1.2B in one year) and saw a 15% decline in Plavix sales, losing another $1.5B.",2,5,Negative,Market_Risk,0.98
Comeback_Kids_BMS,Shift_to_Biopharma_Pure_Play,"Instead of megamergers, BMS chose to transform from a diversified health care company into a biopharma pure play by reshaping its business and R&D portfolios.",2,5,Positive,Strategic_Focus,0.97
Comeback_Kids_BMS,Productivity_Initiative_to_Fund_Strategy,"In 2007 BMS launched a productivity program that took $2.5B out of the business over five years, largely from SG&A, to fund the new strategy.",2,4,Positive,Cost_Reduction,0.96
Comeback_Kids_BMS,Divesting_Noncore_Businesses,"BMS closed diagnostics, sold wound care in 2008, and spun off nutritionals in a 2009 IPO to concentrate on biopharma.",2,4,Positive,Portfolio_Restructuring,0.95
Comeback_Kids_BMS,Bet_on_ImmunoOncology,"BMS chose immuno-oncology as a key therapeutic area; I-O sales grew from 0% to 25% of total and are expected to exceed 50% by 2021, with Opdivo reaching $3.8B in 2016 and projected $8–9B by 2020.",3,5,Positive,Innovation_Strategy,0.98
Comeback_Kids_BMS,RD_as_Portfolio_Decision_Hub,"R&D was repositioned as a decision-making hub to make tradeoffs across the pipeline rather than just originator of drugs, including revamped governance committees and 'follow the science' incentives.",3,5,Positive,RD_Governance,0.97
Comeback_Kids_BMS,Use_of_External_Innovation,BMS seeks external partners such as university labs and startups to access promising new drug approaches.,1,4,Positive,Open_Innovation,0.94
Comeback_Kids_BMS,TSR_and_Performance_Outperformance,"Over six years, BMS’s total shareholder return outpaced peers by ~5 percentage points per year; revenue rose 18% and EBITDA margins 15%, with market cap nearly doubling.",2,5,Positive,Shareholder_Value,0.97
,,,,,,,
Comeback_Kids_Boston_Scientific,Integration_Challenge_Post_Megadeal,"Boston Scientific’s $27B acquisition of Guidant required absorbing cost, integrating quality systems, and establishing a new culture.",2,4,Negative,Post_Merger_Challenge,0.95
Comeback_Kids_Boston_Scientific,Portfolio_Realignment_and_Category_Leadership,"Company revamped its portfolio via acquisitions to emphasize stronger growth and category leadership, e.g., reinforcing leadership in urology.",2,5,Positive,Portfolio_Strategy,0.96
Comeback_Kids_Boston_Scientific,Expansion_into_Emerging_Markets,Boston Scientific expanded into China and Brazil; share of sales from emerging markets doubled since 2013.,2,4,Positive,Geographic_Expansion,0.95
Comeback_Kids_Boston_Scientific,Manufacturing_Centers_of_Excellence,The company created manufacturing centers of excellence using lean and new technologies to reduce manufacturing costs and improve processes.,2,4,Positive,Operational_Excellence,0.96
