Category,Subcategory,Concept,Evidence_or_Fact,Implication,Source_Notes,,
Macroeconomics,Historical Growth,Long-run stagnation before 18th century,"For ~1500 years, per-capita income stayed near ancient Rome levels.",Arts existed historically in an economy without modern productivity pressures.,Macro brochure,,
Macroeconomics,Historical Growth,Explosive 20th century productivity,20th century per-capita income increased ~600–700%.,Widening productivity gap increases financial pressure on live arts.,Macro brochure,,
Macroeconomics,New Economy,Technological change enables new art forms,"ICT revolution expanded dissemination (film, digital media, streaming).",Technology enhances reach but intensifies relative cost pressure for live arts.,Macro brochure + Arts & Econ PPT,,
Cost Structure,Cost Disease,Definition,Wages rise with general economy; arts productivity fixed → rising relative costs.,Structural earnings gap persists regardless of management efficiency.,Arts Econ slides; Handbook Ch.15,,
Cost Structure,Productivity Lag,Labour intensity,A string quartet today requires same labour as 1800.,Live arts cannot benefit from tech-driven productivity improvements.,Handbook Ch.15,,
Cost Structure,Sunk Costs,Recurring production investment,Each new production has one-time creative/design/rehearsal costs.,High fixed costs require subsidies, donations, or high prices.,Arts Econ PPT
Cost Structure,Marginal Costs,Low marginal cost per seat,Marginal cost of an extra attendee is low once production mounted.,Encourages pricing models capturing consumer surplus.,Handbook Ch.15,,
Organizational Behaviour,Nonprofit Structure,Non-distribution constraint,NPOs cannot distribute surplus → not profit maximizers.,Allows quality-maximization but reduces efficiency incentives.,Handbook Ch.15,,
Organizational Behaviour,Objective Functions,Budget/quality/audience maximizers,Large orchestras = quality maximizers; smaller groups = audience maximizers.,Different cost-risk profiles across organizations.,Handbook Ch.15,,
Organizational Behaviour,Art-for-Art’s-Sake,Intrinsic motivation,Artists accept low pay to maintain quality.,Keeps profit margins structurally low; encourages over-supply.,Arts Econ PPT,,
Organizational Behaviour,Advance Commitment,Subscriptions used as fixed charges,Subscriptions purchased before product exists.,Requires credibility; nonprofit status provides trust.,Arts Econ PPT,,
Public Economics,Merit Goods,Definition of merit goods,Gov’t supports goods people under-consume.,Justifies subsidies even when market demand low.,Arts Econ PPT,,
Public Economics,Externalities,Non-attender value types,"Existence, option, bequest, prestige, cultural value.",Supports case for public funding beyond ticket buyers.,Arts Econ PPT,,
Public Economics,Subsidy Equity,Distributional concern,Taxpayers subsidize tickets mostly consumed by high-income households.,Raises fairness concerns; arts audiences skew affluent.,Arts Econ PPT,,
Public Economics,Subsidy Effects,Crowding-out of private giving,Each $1 subsidy displaces $0.10–$0.50 private giving.,Public funding not fully additive; may weaken philanthropy.,Arts Econ PPT,,
Demand,Elasticity,Time-inclusive income elasticity,Including time cost → income elasticity >1.,Arts function as luxury goods once full price considered.,Handbook Ch.14,,
Demand,Elasticity,Price sensitivity,"Price increases reduce attendance, especially among lower-education groups.",Ticket policy shapes audience composition.,Handbook Ch.14,,
Demand,Elasticity,Substitution effects,Empirical results mixed for TV/other media as substitutes or complements.,Effectiveness of digital strategy context-dependent.,Handbook Ch.14,,
Demand,Determinants,Education strongest predictor,Education levels consistently correlated with attendance.,Educational outreach has long-run impact.,Handbook Ch.14,,
Demand,Determinants,Early exposure,Childhood arts experiences strongly predict adult attendance.,Investments in youth exposure yield generational benefits.,Handbook Ch.14,,
Demand,Determinants,Social networks,Attendance influenced by friends/family and social norms.,Peer-based marketing can be effective.,Handbook Ch.14,,
Demand,Dynamic Effects,Habit formation,Past attendance increases future attendance likelihood.,Intro offers and low-barrier first experiences matter.,Handbook Ch.14,,
Segmentation,Cultural Capital,Omnivore/univore distinction,Higher-education groups consume diverse culture; low-education groups consume less.,Arts inclusion requires addressing cultural access barriers beyond price.,Handbook Ch.14,,
Audience Development,Barriers,“Not for people like us” perception,"Teens/young adults view ballet as boring, stuffy, elitist.",Brand identity must counter perceived exclusivity.,PNB case,,
Audience Development,Digital Media,Video engagement,Behind-the-scenes video increased familiarity and reduced intimidation.,Digital storytelling builds accessibility.,PNB case,,
Audience Development,Branding,Revised identity,"Emotional, human, inclusive visuals attracted younger audiences.",Brand tone and visuals shape belonging.,PNB case,,
Audience Development,Events,Teen-only nights,Peer-group events foster belonging and reduce anxiety.,Community-building is as important as price.,PNB case,,
Audience Development,Conversion Challenges,Subscriptions weak,Increased trial did not meaningfully increase subscriptions.,Younger audiences resistant to long-commitment models.,PNB case,,
Fan Development,Participation vs Spectating,Weak link,Austin Wranglers found youth leagues did not convert to spectators.,Participatory programs do not automatically produce ticket buyers.,Wranglers study,,
Fan Development,Engagement Pathways,Need for deliberate conversion steps,Participation must be tied to spectating intentionally.,Arts schools and community programs must create bridges to mainstage.,Wranglers study,,
Pricing,Dynamics,Dynamic pricing advantage,Revenue +7% in some cases vs static pricing.,Dynamic pricing increases expected revenue under constraints.,Dynamic Pricing paper,,
Pricing,Dynamics,Worst-case risk improvement,Dynamic pricing ~28% better in worst-case revenue (CVaR 5%).,Useful for demand uncertainty and tight capacity.,Dynamic Pricing paper,,
Pricing,Static Pricing,List pricing benefits,Lower admin/menu costs; less brand risk.,May be preferable when demand uncertain but capacity ample.,Dynamic Pricing paper,,
Media,Substitution,TV vs Theatre,"Mixed evidence: sometimes substitute, sometimes complement.",Media strategy must be intentional, not passive.,Handbook Ch.14,
Media,Complementarity,Digital video as engagement,PNB video content increased youth attendance.,Digital-first engagement required for young demographics.,PNB case,,
Public Goods,Club Goods,Excludability of arts,Performing arts require payment and presence → not pure public goods.,Supports hybrid funding models with donations + subsidy.,Arts Econ PPT,,
Funding,Philanthropy,Donor motivations,Donations often correlate with enjoyment and perceived quality.,Quality investments can raise giving more than ticket revenues.,Arts Econ PPT,,
Funding,Government Role,Policy uncertainty,Different political parties shift arts policy unpredictably.,Long-term planning harder for arts organizations.,Arts Econ PPT,,
Risk & Uncertainty,Nobody Knows Anything,Outcome uncertainty,Value unknown until product released; historical analogies used.,Risk diversification needed via repertory mix.,Arts Econ PPT,,
Risk & Uncertainty,Sunk Cost Irreversibility,Irrecoverable production investments,Creative development costs unrecoverable if audience weak.,Programming choices must balance risk vs artistic goals.,Arts Econ PPT,,
