Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
NPO_Funding_StatCan,Funding_Share_Increase,"Funding reached 62% of total operating revenue in 2020, up from below half in previous years.:contentReference[oaicite:1]{index=1}",3,5,Neutral,Revenue_Structure,0.97
NPO_Funding_StatCan,Public_vs_Private_Definition,"Public sector funding includes subsidies and grants; private sector includes donations, sponsorships, fundraising, foundations.:contentReference[oaicite:2]{index=2}",1,3,Neutral,Definitions,0.95
NPO_Funding_StatCan,COVID_Funding_Effects,"Funding patterns changed throughout the pandemic, with new federal programs affecting availability.:contentReference[oaicite:3]{index=3}",2,5,Neutral,Pandemic_Impact,0.96
,,,,,,,
NPO_Funding_StatCan,Public_Funding_Rise,"Public sector grants saw the largest increase in 2020, up 32.7% from 2018.:contentReference[oaicite:4]{index=4}",2,5,Positive,Public_Funding,0.98
NPO_Funding_StatCan,Federal_Funding_Highest_Share,"Federal grants reached 48.3% of total public sector funding, an all-time high.:contentReference[oaicite:5]{index=5}",2,5,Positive,Federal_Support,0.97
NPO_Funding_StatCan,COVID_Emergency_Programs,"CEWS, Emergency Support Fund for Cultural, Heritage and Sport Organizations, and Canada Council advance funding boosted federal grants.:contentReference[oaicite:6]{index=6}",3,5,Positive,COVID_Supports,0.98
NPO_Funding_StatCan,Provincial_Share_Decline,Provincial/territorial funding fell from 49.4% of public funding to 35.5% in 2020.:contentReference[oaicite:7]{index=7},2,4,Neutral,Provincial_Funding,0.95
NPO_Funding_StatCan,Municipal_Share_Decline,Municipal funding decreased to 16.2% of public sector funding in 2020.:contentReference[oaicite:8]{index=8},1,3,Neutral,Municipal_Funding,0.92
,,,,,,,
NPO_Funding_StatCan,Private_Funding_Decline,Private sector contributions fell 9.2% in 2020 compared with 2018.:contentReference[oaicite:9]{index=9},2,4,Negative,Private_Sector,0.96
NPO_Funding_StatCan,Individual_Donations_Top_Source,"Individual donations represented the highest share of private funding, rising to 42.9% in 2020.:contentReference[oaicite:10]{index=10}",3,5,Positive,Philanthropy,0.97
NPO_Funding_StatCan,Foundations_Increasing,"Foundation funding grew to 21.3% of private funding, its highest level since 2014.:contentReference[oaicite:11]{index=11}",2,4,Positive,Foundation_Support,0.95
NPO_Funding_StatCan,Sponsorships_And_Fundraising_Crash,"Corporate sponsorships fell to 13.0% and fundraising events to 12.2%, their lowest levels.:contentReference[oaicite:12]{index=12}",3,5,Negative,Sponsorships,0.98
NPO_Funding_StatCan,Corporate_Donations_Declining,Corporate donations fell after 2016 due to economic conditions and business revenue constraints.:contentReference[oaicite:13]{index=13},2,4,Negative,Corporate_Giving,0.95
,,,,,,,
NPO_Funding_StatCan,Theatre_Public_Funding_Surge,"Theatre companies saw the largest increase in federal funding in 2020, up $41.4M from 2018.:contentReference[oaicite:14]{index=14}",1,5,Positive,Theatre_Sector,0.94
NPO_Funding_StatCan,Theatre_Sales_Collapse,"Theatre (except musical) companies were hardest hit, with sales declining $129.6M in 2020.:contentReference[oaicite:15]{index=15}",2,5,Negative,Revenue_Decline,0.97
NPO_Funding_StatCan,Theatre_Private_Donor_Growth,Individual donations to theatre companies rose 18.4%.:contentReference[oaicite:16]{index=16},1,4,Positive,Philanthropy,0.94
,,,,,,,
NPO_Funding_StatCan,Opera_Donor_Reliance,Musical theatre and opera companies received over one-quarter of funding from individual donations between 2016–2020.:contentReference[oaicite:17]{index=17},2,4,Positive,Opera_Donor_Base,0.95
NPO_Funding_StatCan,Opera_Performance_Crash,Performance revenue fell 58.3% for musical theatre and opera companies.:contentReference[oaicite:18]{index=18},1,5,Negative,Revenue_Decline,0.96
,,,,,,,
NPO_Funding_StatCan,Dance_Federal_Grant_Dominance,Dance companies had federal grants as their largest source of funding even before 2020.:contentReference[oaicite:19]{index=19},2,4,Positive,Dance_Sector,0.95
NPO_Funding_StatCan,Dance_Funding_Increase,Total funding for dance companies increased 8.0% in 2020.:contentReference[oaicite:20]{index=20},1,4,Positive,Funding_Level,0.94
NPO_Funding_StatCan,Dance_Private_Funding_Drop,Private funding in dance companies declined to around one-third of total funding.:contentReference[oaicite:21]{index=21},1,3,Negative,Private_Sector,0.93
NPO_Funding_StatCan,Dance_Revenue_Decline,Performance revenue for dance companies declined $9M from 2018.:contentReference[oaicite:22]{index=22},1,4,Negative,Revenue_Decline,0.95
,,,,,,,
NPO_Funding_StatCan,Musical_Groups_Provincial_Anchor,Symphonies and musical groups relied primarily on provincial grants as their largest single funding source.:contentReference[oaicite:23]{index=23},1,4,Positive,Symphonies,0.94
NPO_Funding_StatCan,Musical_Groups_Private_To_Public_Shift,"Private funding accounted for over half of funding pre-pandemic, but public grants became larger in 2020.:contentReference[oaicite:24]{index=24}",1,4,Neutral,Funder_Mix_Shift,0.93
NPO_Funding_StatCan,Musical_Groups_Sales_Collapse,Sales revenue fell $27.9M for musical groups/artists in 2020.:contentReference[oaicite:25]{index=25},1,5,Negative,Revenue_Decline,0.96
,,,,,,,
NPO_Funding_StatCan,Funding_Remains_Critical,Traditional funding sources will be increasingly important as emergency supports end.:contentReference[oaicite:26]{index=26},2,5,Neutral,Outlook,0.96
NPO_Funding_StatCan,Future_Private_Sector_Uncertain,"Private contributions may increase as operations resume, but growth depends on business recovery and economic stability.:contentReference[oaicite:27]{index=27}",1,4,Neutral,Economic_Outlook,0.94
