Article_ID,Concept,Evidence,Frequency,Impact_Score,Sentiment,Category,Coding_Confidence
Inclusion_Newcomers_Sport,Newcomers_Interested_But_Underserved,"Report notes many newcomers are keenly interested in sport and physical activity but are not participating due to multiple barriers, despite a general desire to be active.",4,5,Neutral,Participation_Demand,0.97
Inclusion_Newcomers_Sport,Structural_Not_Cultural_Barriers,ICC (2014) concludes that the barriers cited by new citizens are mainly structural challenges rather than cultural issues.,3,5,Neutral,Barrier_Diagnosis,0.98
Inclusion_Newcomers_Sport,Twelve_Key_Barriers_Listed,"Overview of the Barriers page lists 12 barriers: financial, transportation, time commitment, organizational policies, unfamiliarity with sport, lack of information, language, competing interests, political/cultural, integration, perceptions of sports, racism.",5,5,Negative,Barrier_Taxonomy,0.99
Inclusion_Newcomers_Sport,Financial_Cost_As_Primary_Barrier,"Sports can present financial barriers when fees, equipment, and facility costs are high, especially for families focused on housing, work, and school in early settlement years.",4,5,Negative,Barrier_Financial,0.98
Inclusion_Newcomers_Sport,Financial_Subsidies_And_Equipment_Programs,"Solutions include subsidies, slush funds, free programs, varied price points, instalment payments, and equipment banks; promising practices list KidSport, Jumpstart, Comrie’s Sports Equipment Bank, municipal subsidy schemes.",4,5,Positive,Financial_Solutions,0.97
Inclusion_Newcomers_Sport,Transportation_Barrier,"Families may lack cars, face inconvenient schedules, or find public transit costs/time prohibitive; some are uncomfortable asking for carpooling support.",3,4,Negative,Barrier_Transportation,0.96
Inclusion_Newcomers_Sport,Transportation_Solutions_And_Promising_Practices,"Solutions include carpool systems, bus rentals, transit tokens, funding for transit; examples include free transit passes for refugees, free child fares, grants that include bus tickets, and bike programs for newcomer youth.",3,5,Positive,Transport_Solutions,0.97
Inclusion_Newcomers_Sport,Time_Commitment_As_Barrier,Sports may demand too much time for working families adapting to life in a new country; lack of time is cited as a major barrier for both new and established Canadians.,2,4,Negative,Barrier_Time,0.95
Inclusion_Newcomers_Sport,Flexible_And_DropIn_Programming,"Solutions highlight drop-in programs at varied times, school-based offerings, and clear communication of true time commitments including hidden volunteer expectations.",2,4,Positive,Time_Solutions,0.94
Inclusion_Newcomers_Sport,Organizational_Complexity_And_Policies_As_Barriers,"Newcomers may not know how sports are organized in Canada; information may be incomplete, hard to access, or full of unfamiliar terminology, and online-only systems or credit-card-only payment can be barriers.",3,4,Negative,Barrier_Organizational,0.96
Inclusion_Newcomers_Sport,Central_Hubs_And_MultiSport_TryIts,"Solutions include governing bodies acting as hubs, plain-language materials, multi-sport or multi-movement events, and partnerships with municipalities and schools to simplify access.",3,4,Positive,System_Simplification,0.95
Inclusion_Newcomers_Sport,Unfamiliarity_With_Canadian_Sports,Many newcomers are unfamiliar with Canadian sports and need basic introductions to rules and skills before they can feel confident and want to continue.,3,4,Negative,Barrier_Knowledge,0.96
Inclusion_Newcomers_Sport,Clinics_Orientation_And_LearnTo_Programs,"The guide recommends free clinics, drop-ins, learn-to programs, open houses, and mentoring to build basic skills and confidence; multiple promising practices illustrate these approaches.",3,5,Positive,Onboarding_Solutions,0.97
Inclusion_Newcomers_Sport,Lack_Of_Information_About_Programs,"There is a general lack of information on how to get involved and what assistance programs exist, especially for newcomers.",2,4,Negative,Barrier_Information,0.95
Inclusion_Newcomers_Sport,Proactive_Outreach_Through_Settlement_And_Community,"Solutions emphasize partnerships with settlement agencies, schools, libraries, religious centres, and use of plain-language orientation packages and central phone/311 systems.",3,5,Positive,Information_Solutions,0.97
