category,indicator_group,metric,dimension,year_or_period,value,unit,notes,,,,,
Heritage participation,Outcome 1 – Measure 1.a,Adult Albertans who visited a heritage facility or site,Province-wide,2022-23,55.7,percent,Baseline result (Survey of Albertans on Culture),,,,,
Heritage participation,Outcome 1 – Measure 1.a,Target – adult Albertans visiting heritage facilities or sites,Province-wide,2024-25,57,percent,Planned target,,,,,
Heritage participation,Outcome 1 – Measure 1.a,Target – adult Albertans visiting heritage facilities or sites,Province-wide,2025-26,58,percent,Planned target,,,,,
Heritage participation,Outcome 1 – Measure 1.a,Target – adult Albertans visiting heritage facilities or sites,Province-wide,2026-27,60,percent,"Planned target
Charities,Performance Indicator 1.b,Total expenditures of Alberta’s registered charities""",Province-wide,2018,35.3,billion CAD,Approximate; about one-third of non-profit sector
Charities,Performance Indicator 1.b,Total expenditures of Alberta’s registered charities,Province-wide,2019,25.1,billion CAD,,,,,,
Charities,Performance Indicator 1.b,Total expenditures of Alberta’s registered charities,Province-wide,2020,38,billion CAD,,,,,,
Charities,Performance Indicator 1.b,Total expenditures of Alberta’s registered charities,Province-wide,2021,38.8,billion CAD,,,,,,
Cultural GDP,Performance Indicator 1.c,GDP of Alberta’s creative and cultural industries,Province-wide,2018,4.92,billion CAD,Statistics Canada Table 36-10-0452-01,,,,,
Cultural GDP,Performance Indicator 1.c,GDP of Alberta’s creative and cultural industries,Province-wide,2019,5.22,billion CAD,,,,,,
Cultural GDP,Performance Indicator 1.c,GDP of Alberta’s creative and cultural industries,Province-wide,2020,4.77,billion CAD,,,,,,
Cultural GDP,Performance Indicator 1.c,GDP of Alberta’s creative and cultural industries,Province-wide,2021,5,billion CAD,,,,,,
Women in STEM,Performance Indicator 1.d,Number of women enrolled in STEM programs,Province-wide,2017-18,13662,count,Post-secondary STEM enrolment of women,,,,,
Women in STEM,Performance Indicator 1.d,Number of women enrolled in STEM programs,Province-wide,2018-19,13974,count,,,,,,
Women in STEM,Performance Indicator 1.d,Number of women enrolled in STEM programs,Province-wide,2019-20,14154,count,,,,,,
Women in STEM,Performance Indicator 1.d,Number of women enrolled in STEM programs,Province-wide,2020-21,14679,count,,,,,,
Women in STEM,Performance Indicator 1.d,STEM proportion of women’s total enrolments,Province-wide,2017-18,14,percent,Proportion of all women’s enrolments,,,,,
Women in STEM,Performance Indicator 1.d,STEM proportion of women’s total enrolments,Province-wide,2018-19,14,percent,,,,,,
Women in STEM,Performance Indicator 1.d,STEM proportion of women’s total enrolments,Province-wide,2019-20,14,percent,,,,,,
Women in STEM,Performance Indicator 1.d,STEM proportion of women’s total enrolments,Province-wide,2020-21,14,percent,,,,,,
Arts participation,Outcome 2 – Measure 2.a,Adult Albertans attending arts activities or events,Province-wide,2022-23,70.3,percent,Baseline,,,,,
Arts participation,Outcome 2 – Measure 2.a,Target – adult Albertans attending arts activities or events,Province-wide,2024-25,72,percent,Planned target,,,,,
Arts participation,Outcome 2 – Measure 2.a,Target – adult Albertans attending arts activities or events,Province-wide,2025-26,73,percent,Planned target,,,,,
Arts participation,Outcome 2 – Measure 2.a,Target – adult Albertans attending arts activities or events,Province-wide,2026-27,75,percent,Planned target,,,,,
Intimate partner violence,Outcome 2 – Indicator 2.b,Rate of police-reported intimate partner violence for women,Province-wide,2019,627.17,per_100000,Statistics Canada Table 35-10-0202-01,,,,,
Intimate partner violence,Outcome 2 – Indicator 2.b,Rate of police-reported intimate partner violence for women,Province-wide,2020,625.97,per_100000,,,,,,
Intimate partner violence,Outcome 2 – Indicator 2.b,Rate of police-reported intimate partner violence for women,Province-wide,2021,610.24,per_100000,,,,,,
