category,subcategory,metric,year,value,unit,notes,source_page
Canada Council at a glance,Parliamentary appropriation,Parliamentary appropriation,2024-25,364283,000s,,1
Canada Council at a glance,Parliamentary appropriation,Parliamentary appropriation,2023-24,369339,000s,,1
Total support,All recipients,Total support recipients,2024-25,23912,count,,1
Total support,All recipients,Total support funding,2024-25,302356,000s,,1
Total support,All recipients,Total support recipients,2023-24,24315,count,,1
Total support,All recipients,Total support funding,2023-24,325568,000s,,1
Granting Programs,Project Grants,Recipients,2024-25,4183,count,,1
Granting Programs,Project Grants,Funding,2024-25,113554,000s,,1
Granting Programs,Project Grants,Recipients,2023-24,4709,count,,1
Granting Programs,Project Grants,Funding,2023-24,124611,000s,,1
Granting Programs,Multi-Year Project Grants,Recipients,2024-25,162,count,,1
Granting Programs,Multi-Year Project Grants,Funding,2024-25,12166,000s,,1
Granting Programs,Multi-Year Project Grants,Recipients,2023-24,140,count,,1
Granting Programs,Multi-Year Project Grants,Funding,2023-24,13478,000s,,1
Granting Programs,Core Grants,Recipients,2024-25,1159,count,,1
Granting Programs,Core Grants,Funding,2024-25,144478,000s,,1
Granting Programs,Core Grants,Recipients,2023-24,1163,count,,1
Granting Programs,Core Grants,Funding,2023-24,143708,000s,,1
Strategic Funds,Project Funding,Recipients,2024-25,257,count,,1
Strategic Funds,Project Funding,Funding,2024-25,13010,000s,,1
Strategic Funds,Project Funding,Recipients,2023-24,446,count,,1
Strategic Funds,Project Funding,Funding,2023-24,24589,000s,,1
Strategic Innovation Fund,All,Recipients,2024-25,124,count,,1
Strategic Innovation Fund,All,Funding,2024-25,10227,000s,,1
Strategic Innovation Fund,All,Recipients,2023-24,269,count,,1
Strategic Innovation Fund,All,Funding,2023-24,20167,000s,,1
Other Funds,All,Recipients,2024-25,139,count,,1
Other Funds,All,Funding,2024-25,2783,000s,,1
Other Funds,All,Recipients,2023-24,193,count,,1
Other Funds,All,Funding,2023-24,4422,000s,,1
Funding Initiatives,All,Recipients,2024-25,24,count,,1
Funding Initiatives,All,Funding,2024-25,1152,000s,,1
Funding Initiatives,All,Recipients,2023-24,21,count,,1
Funding Initiatives,All,Funding,2023-24,2386,000s,,1
Public Lending Right,All,Recipients,2024-25,18465,count,,1
Public Lending Right,All,Funding,2024-25,14883,000s,,1
Public Lending Right,All,Recipients,2023-24,18247,count,,1
Public Lending Right,All,Funding,2023-24,14783,000s,,1
Prizes and Fellowships,All,Recipients,2024-25,186,count,,1
Prizes and Fellowships,All,Funding,2024-25,3113,000s,,1
Prizes and Fellowships,All,Recipients,2023-24,203,count,,1
Prizes and Fellowships,All,Funding,2023-24,2012,000s,,1
Prizes,Canada Council funded,Recipients,2024-25,145,count,,1
Prizes,Canada Council funded,Funding,2024-25,1004,000s,,1
Prizes,Canada Council funded,Recipients,2023-24,163,count,,1
Prizes,Canada Council funded,Funding,2023-24,1011,000s,,1
Prizes,Killam Prizes & Fellowships,Recipients,2024-25,13,count,,1
Prizes,Killam Prizes & Fellowships,Funding,2024-25,1700,000s,,1
Prizes,Killam Prizes & Fellowships,Recipients,2023-24,13,count,,1
Prizes,Killam Prizes & Fellowships,Funding,2023-24,580,000s,,1
First-time recipients,All types,Recipients,2024-25,1449,count,,1
First-time recipients,All types,Funding,2024-25,31599,000s,,1
First-time recipients,All types,Recipients,2023-24,1771,count,,1
First-time recipients,All types,Funding,2023-24,39103,000s,,1
Granting Programs & Strategic Funds,Grant applications,Applications,2024-25,21473,count,,1
Granting Programs & Strategic Funds,Grant applications,Applications,2023-24,27458,count,,1
Granting Programs & Strategic Funds,Grant applicants,Applicants,2024-25,13663,count,,1
Granting Programs & Strategic Funds,Grant applicants,Applicants,2023-24,16951,count,,1
Grants awarded,All,Grants awarded,2024-25,6670,count,,1
Grants awarded,All,Funding,2024-25,283208,000s,,1
Grants awarded,All,Grants awarded,2023-24,7531,count,,1
Grants awarded,All,Funding,2023-24,306387,000s,,1
Grant recipients,All,Recipients,2024-25,5281,count,,1
Grant recipients,All,Recipients,2023-24,5889,count,,1
Communities awarded,All,Communities,2024-25,667,count,,1
Communities awarded,All,Communities,2023-24,727,count,,1
Peer assessors,All,Assessors,2024-25,705,count,,1
Peer assessors,All,Assessors,2023-24,758,count,,1
Peer assessors,Communities,Communities,2024-25,201,count,,1
Peer assessors,Communities,Communities,2023-24,185,count,,1
Peer assessors,First-time,First-time assessors,2024-25,285,count,,1
Peer assessors,First-time,First-time assessors,2023-24,309,count,,1
Art Bank,Working collection,Works,2024-25,17246,count,,1
Art Bank,Working collection,Value,2024-25,87649,000s,,1
Art Bank,Working collection,Works,2023-24,17239,count,,1
Art Bank,Working collection,Value,2023-24,73248,000s,,1
Art Bank,Circulation,Rentals,2024-25,3969,count,,1
Art Bank,Circulation,Income,2024-25,1767,000s,,1
Art Bank,Circulation,Rentals,2023-24,3971,count,,1
Art Bank,Circulation,Income,2023-24,1762,000s,,1
Musical Instrument Bank,Loans,Loans,2024-25,27,count,Insured value in USD,1
Musical Instrument Bank,Loans,Insured value,2024-25,72935,USD,,1
Musical Instrument Bank,Loans,Loans,2023-24,26,count,Insured value in USD,1
Musical Instrument Bank,Loans,Insured value,2023-24,71335,USD,,1
