"date","ECUCAA01","IEXA2703","IEXA2701","IEXA2702","IEXA1601","IEXA1501","IEXA6001","IEXA0201","IEXA2801","IEXA4501","IEXA4601","IEXA2901","IEXA2201","IEXA3901","IEXA6101","IEXA2301","IEXA0301","IEXA4001","EUROCAA01","IEXA4101","IEXA1701","IEXA0401","IEXA0501","IEXA4702","IEXA4701","IEXA4201","IEXA6501","IEXA4301","IEXA1401","IEXA2501","IEXA4401","IEXA3001","IEXA2601","IEXA1301","IEXA5301","IEXA0601","IEXA6401","IEXA0701","IEXA3201","IEXA2001","IEXA4801","IEXA3801","IEXA3802","IEXA4901","IEXA0801","IEXA1901","IEXA0901","IEXA5001","IEXA5101","IEXA5201","IEXA3301","IEXA2401","IEXA5401","IEXA6505","IEXA2101","IEXA6504","IEXA3701","IEXA6201","IEXA6301","IEXA3401","IEXA3101","IEXA1801","IEXA5501","IEXA1001","IEXA1101","IEXA3501","IEXA3601","IEXA5601","IEXA5701","IEXA5801_1","IEXA5801_2","IEXA5802","IEXA6506","IEXA1201","IEXA0101","IEXA5901","IEXA5902","IEXA6503"
"1997-01-01","1.5652","","1.3847","","1.0295","0.11362","1.3844","0.03874","1.2850","0.002375","0.01306","0.003304","0.1670","0.001220","","","0.2098","0.5128","","0.9618","0.2668","0.2375","0.7994","","0.000678","0.005076","","0.10640","0.178803","","0.01951","0.03815","","2.1005","0.4017","0.000814","","0.011454","0.5015","0.17494","0.1456","0.2239","","0.7738","0.7103","0.9175","0.1959","0.03374","1.3844","0.5204","0.04747","","0.007911","","0.00024","","0.9341","","","0.3007","0.001493","0.009466","0.02349","0.1814","0.9548","0.04844","0.04630","0.2242","1.2586","0.000009","","","","2.26819323","1.38438685","0.002836","",""
"1998-01-01","1.6668","","1.4835","","0.9330","0.12012","1.4831","0.04096","1.2729","0.002520","0.01386","0.003221","0.1792","0.001042","","0.04651","0.2218","0.5493","","0.7558","0.2781","0.2520","0.8450","","0.000639","0.005033","","0.11040","0.191463","0.006911","0.02086","0.03596","0.000152","2.1163","0.3914","0.000856","","0.011390","0.3794","0.16276","0.1547","0.2366","","0.8286","0.7496","0.7953","0.1965","0.03074","1.4831","0.5071","0.03630","0.4264","0.008250","","0.18574","","0.8879","","","0.2697","0.001071","0.009952","0.02287","0.1865","1.0258","0.04433","0.03638","0.2381","1.3056","0.000006","","","","2.45867649","1.48310319","0.002710","",""
"1999-01-01","","","1.4862","","0.9589","0.11516","1.4858","0.03928","0.8246","0.002416","0.01329","0.002926","0.1795","0.000854","","0.04299","0.2131","0.5504","1.5847","0.7557","0.2665","0.2416","0.8102","","0.000562","0.004868","","0.10437","0.191499","0.006272","0.02052","0.03452","0.000191","2.0122","0.3590","0.000818","","0.013109","0.3911","0.15557","0.1517","0.2388","","0.8400","0.7191","0.7868","0.1905","0.02893","1.4858","0.4396","0.03803","0.3753","0.007904","","0.05989","","0.8768","","","0.2430","0.001250","0.009524","0.02102","0.1799","0.9901","0.04608","0.03929","0.2395","1.2535","0.000004","","","","2.40376733","1.48584024","0.002457","",""
"2000-01-01","","","1.4857","","0.8633","0.09959","1.4852","0.03397","0.8127","0.002089","0.01149","0.002759","0.1794","0.000712","","0.03849","0.1838","0.5501","1.3704","0.7018","0.2305","0.2089","0.7007","","0.000294","0.004073","","0.10019","0.190599","0.005273","0.01891","0.03307","0.000178","1.7400","0.3642","0.000708","","0.013779","0.3909","0.15710","0.1398","0.2302","","0.8381","0.6219","0.6784","0.1689","0.02760","1.4852","0.4259","0.03376","0.3421","0.006835","","0.05275","","0.8611","","","0.2148","0.001315","0.008236","0.01936","0.1624","0.8793","0.04763","0.03705","0.2384","1.0856","","0.0238751120","","","2.24987680","1.48520240","0.002185","",""
"2001-01-01","","","1.5492","","0.8008","0.10079","1.5484","0.03438","0.6654","0.002114","0.01163","0.002451","0.1871","0.000673","","0.04073","0.1861","0.5765","1.3868","0.6846","0.2332","0.2114","0.7091","","0.000217","0.004070","","0.10014","0.198527","0.005404","0.01594","0.03283","0.000152","1.7609","0.3681","0.000716","0.03391","0.012755","0.4075","0.16589","0.1372","0.2320","","0.8699","0.6293","0.6514","0.1723","0.02513","1.5484","0.4416","0.03039","0.3782","0.006918","","0.05303","","0.8643","","","0.1823","0.001201","0.008335","0.01733","0.1500","0.9184","0.04588","0.03481","0.2518","1.0780","","0.0135569283","","","2.22975618","1.54841633","0.002141","",""
"2002-01-01","","","1.5988","0.4979","0.8535","","1.5704","","0.5568","0.002261","0.01243","0.002283","0.1897","0.000632","0.2028","0.04819","0.1996","0.5881","1.4832","0.7234","","","","","0.000201","","","0.09566","0.201343","0.006109","0.01722","0.03233","0.000169","","0.3317","","0.03253","0.012554","0.4132","0.16296","0.1426","0.2389","","0.8822","","0.7291","0.1977","0.02637","1.5704","0.4467","0.03045","0.3850","","","0.05005","","0.8771","0.03510","0.006605","0.1501","0.001262","","0.01643","0.1619","1.0112","0.04553","0.03652","0.2572","1.1058","","0.0104696096","","","2.35817530","1.57035976","0.001431","",""
"2003-01-01","","","","0.4747","0.9105","","1.4015","","0.4570","0.002413","0.01326","0.002032","0.1693","0.000487","0.2091","0.04971","0.2130","0.5248","1.5826","0.7432","","","","","0.000165","","","0.08091","0.179954","0.006252","0.01828","0.03009","0.000163","","0.3080","","0.02470","0.012088","0.3688","0.13006","0.1462","0.2305","","0.7873","","0.8139","0.1982","0.02428","1.4015","0.4029","0.02587","0.3606","","","0.04564","","0.8041","0.03815","0.006769","0.1861","0.001176","","0.01453","0.1735","1.0418","0.04078","0.03372","0.2277","1.0883","","0.0093343267","","","2.28829960","1.40146175","0.000867","",""
"2004-01-01","","","","0.4420","0.9582","","1.3015","","0.4451","0.002465","0.01355","0.002137","0.1573","0.000495","0.2157","0.05069","0.2173","0.4874","1.6169","0.7557","","","","","0.000146","","0.15748","0.07155","0.167098","0.006427","0.01856","0.02876","0.000146","","0.2904","","0.02145","0.012035","0.3425","0.11537","0.1467","0.2265","","0.7312","","0.8636","0.1931","0.02234","1.3015","0.3812","0.02322","0.3575","","","0.04518","","0.7698","0.04040","0.006765","0.2023","0.001136","","0.01288","0.1772","1.0473","0.03903","0.03235","0.2116","1.0452","","0.0091362579","","","2.38418532","1.30152024","0.000693","","0.000083"
"2005-01-01","","","","0.4145","0.9243","","1.2116","","0.4993","0.002300","0.01265","0.002167","0.1479","0.000522","0.2039","0.05064","0.2025","0.4535","1.5090","0.7206","","","","","0.000134","","0.15861","0.06437","0.155772","0.006088","0.01928","0.02753","0.000125","","0.2704","","0.01964","0.011035","0.3199","0.11123","0.1369","0.2105","","0.6807","","0.8542","0.1882","0.02033","1.2116","0.3679","0.02201","0.3749","","","0.04284","","0.7283","0.03910","0.006299","0.1907","0.001184","","0.01207","0.1628","0.9746","0.03775","0.03013","0.1944","0.9360","","","0.8996","","2.20669880","1.21163240","0.000576","","0.000076"
"2006-01-01","","","","0.3670","0.8543","","1.1341","","0.5217","0.002170","0.01193","0.002138","0.1422","0.000482","0.1944","0.05026","0.1909","0.4242","1.4237","0.6571","","","","","0.000124","","0.14908","0.06002","0.145989","0.005397","0.01629","0.02511","0.000124","","0.2547","","0.01734","0.009753","0.3092","0.10410","0.1289","0.1961","","0.6372","","0.7368","0.1769","0.01881","1.1341","0.3464","0.02211","0.3657","","","0.04173","","0.7139","0.03830","0.005942","0.1689","0.001188","","0.01091","0.1539","0.9050","0.03488","0.02993","0.1804","0.8528","","","0.7933","","2.08858760","1.13409360","0.000528","","0.000071"
