Concept,Frequency,Sentiment,Category,Mentions_Cost,Mentions_Time,Mentions_Stakeholders
Economic impact of creative industries (GDP and output),6,Positive,Benefit,Yes,No,Yes
Employment in Calgary’s creative sector,5,Positive,Benefit,Yes,No,Yes
Government tax revenues from creative industries,3,Positive,Benefit,Yes,No,Yes
Tourism spending on creative activities,4,Positive,Opportunity,Yes,Yes,Yes
Volunteering and unpaid contributions in arts and culture,5,Positive,Benefit,No,Yes,Yes
"Non-economic benefits (health, education, social development)",6,Positive,Benefit,No,Yes,Yes
Talent attraction and retention through creative ecosystem,4,Positive,Opportunity,No,Yes,Yes
Benchmarking Calgary against other Canadian regions,5,Neutral,Challenge,No,No,Yes
Arts funding levels and comparative investment,4,Neutral,Challenge,Yes,No,Yes
Methodology and modelling of economic footprint,3,Neutral,Context,No,Yes,Yes
