date,capital_investment,date_label
2006-01-01,57082800000,2006-01-01T00:00:00
2007-01-01,62158600000,2007-01-01T00:00:00
2008-01-01,69969800000,2008-01-01T00:00:00
2009-01-01,49516000000,2009-01-01T00:00:00
2010-01-01,61228200000,2010-01-01T00:00:00
2011-01-01,70389300000,2011-01-01T00:00:00
2012-01-01,78605800000,2012-01-01T00:00:00
2013-01-01,91681700000,2013-01-01T00:00:00
2014-01-01,97800200000,2014-01-01T00:00:00
2015-01-01,75676200000,2015-01-01T00:00:00
2016-01-01,60827100000,2016-01-01T00:00:00
2017-01-01,60249900000,2017-01-01T00:00:00
2018-01-01,62301000000,2018-01-01T00:00:00
2019-01-01,59440500000,2019-01-01T00:00:00
2020-01-01,48641300000,2020-01-01T00:00:00
2021-01-01,55796800000,2021-01-01T00:00:00
2022-01-01,70108000000,2022-01-01T00:00:00
2023-01-01,72127200000,2023-01-01T00:00:00
2024-01-01,72920600000,2024-01-01T00:00:00
