Concept,Frequency,Sentiment,Category,Mentions_Cost,Mentions_Time,Mentions_Stakeholders
Cultural dance programs for Indigenous youth,7,Positive,Benefit,No,Yes,Yes
Mental health and wellness benefits of dance,6,Positive,Benefit,No,Yes,Yes
Healing intergenerational trauma and building identity pride,5,Positive,Benefit,No,Yes,Yes
Inclusion of newcomer and refugee children,6,Positive,Opportunity,Yes,Yes,Yes
"Practical barriers for newcomer families (cost, time, systems)",7,Negative,Challenge,Yes,Yes,Yes
Culturally responsive programs to reduce isolation and stigma,5,Positive,Benefit,No,Yes,Yes
Hub-and-spoke delivery model for rural communities,5,Positive,Opportunity,Yes,Yes,Yes
Rural youth mental health crises and limited local options,4,Negative,Risk,No,Yes,Yes
Equity for marginalized and vulnerable youth,6,Positive,Opportunity,Yes,No,Yes
Arts participation as a social determinant of health,5,Positive,Benefit,No,Yes,Yes
"Cross-sector collaboration between arts, health, and social services",4,Positive,Opportunity,Yes,Yes,Yes
