category,subcategory,metric,year_or_period,value,unit,notes,source_page,,
BNCCI,Headline Index,This week,2025-11-21,49.53,index,,8,,
BNCCI,Headline Index,Last week,2025-11-14,48.63,index,,8,,
BNCCI,Headline Index,2025 high,2025,53.07,index,18-Jul,8,,
BNCCI,Headline Index,2025 low,2025,44.85,index,25-Apr,8,,
BNCCI,Headline Index,2025 average,2025,50.11,index,,8,,
BNCCI,Headline Index,2008 average,2008,49.21,index,Worst full year,8,,
BNCCI,Headline Index,2010 average,2010,59.13,index,Best full year,8,,
BNCCI,Headline Index,Record low,2020-04-24,37.08,index,,8,,
BNCCI,Headline Index,Record high,2021-07-02,66.42,index,,8,,
BNCCI,Headline Index,Overall index average,2008-2025,54.92,index,,8,,
Demographics,Region,Atlantic,2025-11-21,54.62,index,,9,,
Demographics,Region,Quebec,2025-11-21,53.52,index,,9,,
Demographics,Region,Ontario,2025-11-21,46.67,index,,9,,
Demographics,Region,Prairies,2025-11-21,50.41,index,,9,,
Demographics,Region,British Columbia,2025-11-21,44.16,index,,9,,
Demographics,Age,18 to 29,2025-11-21,49.29,index,,9,,
Demographics,Age,30 to 39,2025-11-21,49.59,index,,9,,
Demographics,Age,40 to 49,2025-11-21,49.88,index,,9,,
Demographics,Age,50 to 59,2025-11-21,46.68,index,,9,,
Demographics,Age,60 plus,2025-11-21,51.46,index,,9,,
Demographics,Income,$0–$14,999,2025-11-21,46.76,index,,,
Demographics,Income,$15 ,000–$29,999,2025-11-21,49.31,index,,
Demographics,Income,$30 ,000–$44,999,2025-11-21,45.46,index,,
Demographics,Income,$45 ,000–$59,999,2025-11-21,46.48,index,,
Demographics,Income,$60 ,000–$74,999,2025-11-21,48.09,index,,
Demographics,Income,$75 ,000+,2025-11-21,51.29,index,,,
Demographics,Home,Owners,2025-11-21,49.42,index,,9,,
Demographics,Home,Renters,2025-11-21,49.04,index,,9,,
Economy Outlook,Distribution,Stronger,2025-11-21,18,percent,,16,,
Economy Outlook,Distribution,Weaker,2025-11-21,49.2,percent,,16,,
Economy Outlook,Distribution,No change,2025-11-21,23.2,percent,,16,,
Economy Outlook,Distribution,Unsure,2025-11-21,9.6,percent,,16,,
Expectations Index,All,This week,2025-11-21,45.39,index,,9,,
Expectations Index,All,Last week,2025-11-14,44.3,index,,9,,
Expectations Index,All,4 weeks ago,2025-10-24,45.5,index,,9,,
Expectations Index,All,3 months ago,2025-08-21,47.37,index,,9,,
Expectations Index,All,1 year ago,2024-11-21,52.73,index,,9,,
Expectations Index,All,12 month high,2025,52.73,index,,9,,
Expectations Index,All,12 month low,2025,38.44,index,,9,,
Expectations Index,All,12 month average,2025,46.47,index,,9,,
Job Security,Distribution,Secure,2025-11-21,44.3,percent,,16,,
Job Security,Distribution,Somewhat secure,2025-11-21,21.3,percent,,16,9,
Job Security,Distribution,Somewhat not secure,2025-11-21,5.3,percent,,16,,9
Job Security,Distribution,Not secure,2025-11-21,8.1,percent,,16,,9
Job Security,Distribution,Unsure,2025-11-21,21,percent,,16,,9
Personal Finances,Distribution,Better off,2025-11-21,13.2,percent,,16,,9
Personal Finances,Distribution,Worse off,2025-11-21,39.7,percent,,16,9,
Personal Finances,Distribution,No change,2025-11-21,46,percent,,16,,
Personal Finances,Distribution,Unsure,2025-11-21,1.1,percent,,16,,
Pocketbook Index,All,This week,2025-11-21,53.68,index,,9,,
Pocketbook Index,All,Last week,2025-11-14,52.95,index,,9,,
Pocketbook Index,All,4 weeks ago,2025-10-24,53.75,index,,9,,
Pocketbook Index,All,3 months ago,2025-08-21,54.53,index,,9,,
Pocketbook Index,All,1 year ago,2024-11-21,55.54,index,,9,,
Pocketbook Index,All,12 month high,2025,56.39,index,,9,,
Pocketbook Index,All,12 month low,2025,51.26,index,,9,,
Pocketbook Index,All,12 month average,2025,53.99,index,,9,,
Real Estate Outlook,Distribution,Increase,2025-11-21,32.9,percent,,16,,
Real Estate Outlook,Distribution,Stay the same,2025-11-21,40,percent,,16,,
Real Estate Outlook,Distribution,Decrease,2025-11-21,20.1,percent,,16,,
Real Estate Outlook,Distribution,Unsure,2025-11-21,7.1,percent,,16,,
Survey Stats,Sampling,Unweighted N,2025-11-21,1053,count,,16,,
Survey Stats,Sampling,Weighted N,2025-11-21,1000,count,,16,,
Survey Stats,Sampling,Atlantic Unweighted N,2025-11-21,114,count,,16,,
Survey Stats,Sampling,Atlantic Weighted N,2025-11-21,100,count,,16,,
Survey Stats,Sampling,Quebec Unweighted N,2025-11-21,243,count,,16,,
Survey Stats,Sampling,Quebec Weighted N,2025-11-21,248,count,,16,,
Survey Stats,Sampling,Ontario Unweighted N,2025-11-21,310,count,,16,,
Survey Stats,Sampling,Ontario Weighted N,2025-11-21,300,count,,16,,
Survey Stats,Sampling,Prairies Unweighted N,2025-11-21,206,count,,16,,
Survey Stats,Sampling,Prairies Weighted N,2025-11-21,200,count,,16,,
Survey Stats,Sampling,BC Unweighted N,2025-11-21,180,count,,16,,
Survey Stats,Sampling,BC Weighted N,2025-11-21,152,count,,16,,
Survey Stats,Sampling,Male Unweighted N,2025-11-21,573,count,,16,,
Survey Stats,Sampling,Female Unweighted N,2025-11-21,480,count,,16,,
Survey Stats,Sampling,Male Weighted N,2025-11-21,485,count,,16,,
Survey Stats,Sampling,Female Weighted N,2025-11-21,515,count,,16,,
Survey Stats,Age group,18–29 Weighted N,2025-11-21,197,count,,16,,
Survey Stats,Age group,30–39 Weighted N,2025-11-21,163,count,,16,,
Survey Stats,Age group,40–49 Weighted N,2025-11-21,187,count,,16,,
Survey Stats,Age group,50–59 Weighted N,2025-11-21,189,count,,16,,
Survey Stats,Age group,60+ Weighted N,2025-11-21,265,count,,16,,
