date,net_migration,date_label
1961-01-01,236,1961-01-01T00:00:00
1961-04-01,799,1961-04-01T00:00:00
1961-07-01,1224,1961-07-01T00:00:00
1961-10-01,3692,1961-10-01T00:00:00
1962-01-01,-273,1962-01-01T00:00:00
1962-04-01,1731,1962-04-01T00:00:00
1962-07-01,1596,1962-07-01T00:00:00
1962-10-01,1898,1962-10-01T00:00:00
1963-01-01,-783,1963-01-01T00:00:00
1963-04-01,1041,1963-04-01T00:00:00
1963-07-01,88,1963-07-01T00:00:00
1963-10-01,-1644,1963-10-01T00:00:00
1964-01-01,-1563,1964-01-01T00:00:00
1964-04-01,-1087,1964-04-01T00:00:00
1964-07-01,-1242,1964-07-01T00:00:00
1964-10-01,315,1964-10-01T00:00:00
1965-01-01,-3908,1965-01-01T00:00:00
1965-04-01,-735,1965-04-01T00:00:00
1965-07-01,-3317,1965-07-01T00:00:00
1965-10-01,-2824,1965-10-01T00:00:00
1966-01-01,-1858,1966-01-01T00:00:00
1966-04-01,323,1966-04-01T00:00:00
1966-07-01,-559,1966-07-01T00:00:00
1966-10-01,1416,1966-10-01T00:00:00
1967-01-01,2167,1967-01-01T00:00:00
1967-04-01,4012,1967-04-01T00:00:00
1967-07-01,3637,1967-07-01T00:00:00
1967-10-01,4473,1967-10-01T00:00:00
1968-01-01,2786,1968-01-01T00:00:00
1968-04-01,3685,1968-04-01T00:00:00
1968-07-01,4073,1968-07-01T00:00:00
1968-10-01,6156,1968-10-01T00:00:00
1969-01-01,2465,1969-01-01T00:00:00
1969-04-01,3364,1969-04-01T00:00:00
1969-07-01,4829,1969-07-01T00:00:00
1969-10-01,3910,1969-10-01T00:00:00
1970-01-01,4908,1970-01-01T00:00:00
1970-04-01,2497,1970-04-01T00:00:00
1970-07-01,4774,1970-07-01T00:00:00
1970-10-01,4727,1970-10-01T00:00:00
1971-01-01,2569,1971-01-01T00:00:00
1971-04-01,408,1971-04-01T00:00:00
1971-07-01,4698,1971-07-01T00:00:00
1971-10-01,-47,1971-10-01T00:00:00
1972-01-01,2251,1972-01-01T00:00:00
1972-04-01,2486,1972-04-01T00:00:00
1972-07-01,6404,1972-07-01T00:00:00
1972-10-01,770,1972-10-01T00:00:00
1973-01-01,2507,1973-01-01T00:00:00
1973-04-01,2323,1973-04-01T00:00:00
1973-07-01,5296,1973-07-01T00:00:00
1973-10-01,39,1973-10-01T00:00:00
1974-01-01,2484,1974-01-01T00:00:00
1974-04-01,2888,1974-04-01T00:00:00
1974-07-01,10201,1974-07-01T00:00:00
1974-10-01,8112,1974-10-01T00:00:00
1975-01-01,7941,1975-01-01T00:00:00
1975-04-01,8158,1975-04-01T00:00:00
1975-07-01,10806,1975-07-01T00:00:00
1975-10-01,9098,1975-10-01T00:00:00
1976-01-01,8291,1976-01-01T00:00:00
1976-04-01,10105,1976-04-01T00:00:00
1976-07-01,18683,1976-07-01T00:00:00
1976-10-01,9882,1976-10-01T00:00:00
1977-01-01,8149,1977-01-01T00:00:00
1977-04-01,8280,1977-04-01T00:00:00
1977-07-01,17682,1977-07-01T00:00:00
1977-10-01,8414,1977-10-01T00:00:00
1978-01-01,6905,1978-01-01T00:00:00
1978-04-01,6594,1978-04-01T00:00:00
1978-07-01,16680,1978-07-01T00:00:00
1978-10-01,8130,1978-10-01T00:00:00
1979-01-01,6319,1979-01-01T00:00:00
1979-04-01,7551,1979-04-01T00:00:00
1979-07-01,22361,1979-07-01T00:00:00
1979-10-01,12534,1979-10-01T00:00:00
1980-01-01,9580,1980-01-01T00:00:00
1980-04-01,12387,1980-04-01T00:00:00
1980-07-01,26165,1980-07-01T00:00:00
1980-10-01,13147,1980-10-01T00:00:00
1981-01-01,10393,1981-01-01T00:00:00
1981-04-01,11540,1981-04-01T00:00:00
1981-07-01,22057,1981-07-01T00:00:00
1981-10-01,12204,1981-10-01T00:00:00
1982-01-01,8271,1982-01-01T00:00:00
1982-04-01,10866,1982-04-01T00:00:00
1982-07-01,1348,1982-07-01T00:00:00
1982-10-01,-969,1982-10-01T00:00:00
1983-01-01,-1816,1983-01-01T00:00:00
1983-04-01,-1839,1983-04-01T00:00:00
1983-07-01,-6648,1983-07-01T00:00:00
1983-10-01,-5438,1983-10-01T00:00:00
1984-01-01,-4456,1984-01-01T00:00:00
1984-04-01,-9541,1984-04-01T00:00:00
1984-07-01,-9843,1984-07-01T00:00:00
1984-10-01,-910,1984-10-01T00:00:00
1985-01-01,-222,1985-01-01T00:00:00
1985-04-01,-3680,1985-04-01T00:00:00
1985-07-01,-4308,1985-07-01T00:00:00
1985-10-01,3094,1985-10-01T00:00:00
1986-01-01,3602,1986-01-01T00:00:00
1986-04-01,720,1986-04-01T00:00:00
1986-07-01,-10560,1986-07-01T00:00:00
1986-10-01,-3488,1986-10-01T00:00:00
1987-01-01,-679,1987-01-01T00:00:00
1987-04-01,-5739,1987-04-01T00:00:00
1987-07-01,-10375,1987-07-01T00:00:00
1987-10-01,-348,1987-10-01T00:00:00
1988-01-01,1085,1988-01-01T00:00:00
1988-04-01,-1104,1988-04-01T00:00:00
1988-07-01,1284,1988-07-01T00:00:00
1988-10-01,5929,1988-10-01T00:00:00
1989-01-01,4794,1989-01-01T00:00:00
1989-04-01,1500,1989-04-01T00:00:00
1989-07-01,1426,1989-07-01T00:00:00
1989-10-01,6521,1989-10-01T00:00:00
1990-01-01,5686,1990-01-01T00:00:00
1990-04-01,7460,1990-04-01T00:00:00
1990-07-01,8225,1990-07-01T00:00:00
1990-10-01,3799,1990-10-01T00:00:00
1991-01-01,1155,1991-01-01T00:00:00
1991-04-01,4129,1991-04-01T00:00:00
1991-07-01,4490,1991-07-01T00:00:00
1991-10-01,1631,1991-10-01T00:00:00
1992-01-01,2337,1992-01-01T00:00:00
1992-04-01,4424,1992-04-01T00:00:00
1992-07-01,4023,1992-07-01T00:00:00
1992-10-01,1707,1992-10-01T00:00:00
1993-01-01,1425,1993-01-01T00:00:00
1993-04-01,2170,1993-04-01T00:00:00
1993-07-01,4909,1993-07-01T00:00:00
1993-10-01,-255,1993-10-01T00:00:00
1994-01-01,2493,1994-01-01T00:00:00
1994-04-01,2590,1994-04-01T00:00:00
1994-07-01,2334,1994-07-01T00:00:00
1994-10-01,1569,1994-10-01T00:00:00
1995-01-01,3689,1995-01-01T00:00:00
1995-04-01,3705,1995-04-01T00:00:00
1995-07-01,4678,1995-07-01T00:00:00
1995-10-01,3439,1995-10-01T00:00:00
1996-01-01,4348,1996-01-01T00:00:00
1996-04-01,6608,1996-04-01T00:00:00
1996-07-01,9708,1996-07-01T00:00:00
1996-10-01,6192,1996-10-01T00:00:00
1997-01-01,9553,1997-01-01T00:00:00
1997-04-01,11903,1997-04-01T00:00:00
1997-07-01,13066,1997-07-01T00:00:00
1997-10-01,8081,1997-10-01T00:00:00
1998-01-01,13780,1998-01-01T00:00:00
1998-04-01,16991,1998-04-01T00:00:00
1998-07-01,11800,1998-07-01T00:00:00
1998-10-01,6360,1998-10-01T00:00:00
1999-01-01,7287,1999-01-01T00:00:00
1999-04-01,10139,1999-04-01T00:00:00
1999-07-01,9082,1999-07-01T00:00:00
1999-10-01,4203,1999-10-01T00:00:00
2000-01-01,9872,2000-01-01T00:00:00
2000-04-01,10819,2000-04-01T00:00:00
2000-07-01,8725,2000-07-01T00:00:00
2000-10-01,7557,2000-10-01T00:00:00
