"REF_DATE","GEO","DGUID","Trade","Domain","Trading partner","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Imports from","Culture total","All trading partners","Canadian dollars","47","millions","6","v122689132","1.1.1.1","22611.8","","","","1"
"2020","Canada","2016A000011124","Imports from","Culture total","All trading partners","Canadian dollars","47","millions","6","v122689132","1.1.1.1","26280.9","","","","1"
"2021","Canada","2016A000011124","Imports from","Culture total","All trading partners","Canadian dollars","47","millions","6","v122689132","1.1.1.1","30695.5","","","","1"
"2022","Canada","2016A000011124","Imports from","Culture total","All trading partners","Canadian dollars","47","millions","6","v122689132","1.1.1.1","34298.8","","","","1"
"2023","Canada","2016A000011124","Imports from","Culture total","All trading partners","Canadian dollars","47","millions","6","v122689132","1.1.1.1","35821.7","","","","1"
"2019","Canada","2016A000011124","Imports from","Heritage and libraries","All trading partners","Canadian dollars","47","millions","6","v122689173","1.1.2.1","378.7","","","","1"
"2020","Canada","2016A000011124","Imports from","Heritage and libraries","All trading partners","Canadian dollars","47","millions","6","v122689173","1.1.2.1","454.7","","","","1"
"2021","Canada","2016A000011124","Imports from","Heritage and libraries","All trading partners","Canadian dollars","47","millions","6","v122689173","1.1.2.1","534.6","","","","1"
"2022","Canada","2016A000011124","Imports from","Heritage and libraries","All trading partners","Canadian dollars","47","millions","6","v122689173","1.1.2.1","683.8","","","","1"
"2023","Canada","2016A000011124","Imports from","Heritage and libraries","All trading partners","Canadian dollars","47","millions","6","v122689173","1.1.2.1","752.9","","","","1"
"2019","Canada","2016A000011124","Imports from","Archives","All trading partners","Canadian dollars","47","millions","6","v122689214","1.1.3.1","8.3","","","","1"
"2020","Canada","2016A000011124","Imports from","Archives","All trading partners","Canadian dollars","47","millions","6","v122689214","1.1.3.1","40.2","","","","1"
"2021","Canada","2016A000011124","Imports from","Archives","All trading partners","Canadian dollars","47","millions","6","v122689214","1.1.3.1","53.3","","","","1"
"2022","Canada","2016A000011124","Imports from","Archives","All trading partners","Canadian dollars","47","millions","6","v122689214","1.1.3.1","53.6","","","","1"
"2023","Canada","2016A000011124","Imports from","Archives","All trading partners","Canadian dollars","47","millions","6","v122689214","1.1.3.1","56.0","","","","1"
"2019","Canada","2016A000011124","Imports from","Libraries","All trading partners","Canadian dollars","47","millions","6","v122689255","1.1.4.1","52.1","","","","1"
"2020","Canada","2016A000011124","Imports from","Libraries","All trading partners","Canadian dollars","47","millions","6","v122689255","1.1.4.1","261.6","","","","1"
"2021","Canada","2016A000011124","Imports from","Libraries","All trading partners","Canadian dollars","47","millions","6","v122689255","1.1.4.1","348.2","","","","1"
"2022","Canada","2016A000011124","Imports from","Libraries","All trading partners","Canadian dollars","47","millions","6","v122689255","1.1.4.1","350.1","","","","1"
"2023","Canada","2016A000011124","Imports from","Libraries","All trading partners","Canadian dollars","47","millions","6","v122689255","1.1.4.1","367.2","","","","1"
"2019","Canada","2016A000011124","Imports from","Culture heritage","All trading partners","Canadian dollars","47","millions","6","v122689296","1.1.5.1","228.6","","","","1"
"2020","Canada","2016A000011124","Imports from","Culture heritage","All trading partners","Canadian dollars","47","millions","6","v122689296","1.1.5.1","110.5","","","","1"
"2021","Canada","2016A000011124","Imports from","Culture heritage","All trading partners","Canadian dollars","47","millions","6","v122689296","1.1.5.1","91.6","","","","1"
"2022","Canada","2016A000011124","Imports from","Culture heritage","All trading partners","Canadian dollars","47","millions","6","v122689296","1.1.5.1","199.9","","","","1"
"2023","Canada","2016A000011124","Imports from","Culture heritage","All trading partners","Canadian dollars","47","millions","6","v122689296","1.1.5.1","234.0","","","","1"
"2019","Canada","2016A000011124","Imports from","Natural heritage","All trading partners","Canadian dollars","47","millions","6","v122689337","1.1.6.1","89.7","","","","1"
"2020","Canada","2016A000011124","Imports from","Natural heritage","All trading partners","Canadian dollars","47","millions","6","v122689337","1.1.6.1","42.4","","","","1"
"2021","Canada","2016A000011124","Imports from","Natural heritage","All trading partners","Canadian dollars","47","millions","6","v122689337","1.1.6.1","41.5","","","","1"
"2022","Canada","2016A000011124","Imports from","Natural heritage","All trading partners","Canadian dollars","47","millions","6","v122689337","1.1.6.1","80.2","","","","1"
"2023","Canada","2016A000011124","Imports from","Natural heritage","All trading partners","Canadian dollars","47","millions","6","v122689337","1.1.6.1","95.7","","","","1"
"2019","Canada","2016A000011124","Imports from","Live performance","All trading partners","Canadian dollars","47","millions","6","v122689378","1.1.7.1","1586.3","","","","1"
"2020","Canada","2016A000011124","Imports from","Live performance","All trading partners","Canadian dollars","47","millions","6","v122689378","1.1.7.1","743.0","","","","1"
"2021","Canada","2016A000011124","Imports from","Live performance","All trading partners","Canadian dollars","47","millions","6","v122689378","1.1.7.1","618.9","","","","1"
"2022","Canada","2016A000011124","Imports from","Live performance","All trading partners","Canadian dollars","47","millions","6","v122689378","1.1.7.1","1249.4","","","","1"
