"REF_DATE","GEO","DGUID","Indicators","Domain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Canada","2016A000011124","Gross domestic product","Culture total","Dollars","81","thousands","3","v1277496824","1.1.1","16094705","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Culture total","Dollars","81","thousands","3","v1277496824","1.1.1","16324535","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Culture total","Dollars","81","thousands","3","v1277496824","1.1.1","16426336","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Culture total","Dollars","81","thousands","3","v1277496824","1.1.1","16482165","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Culture total","Dollars","81","thousands","3","v1277496824","1.1.1","16509039","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Heritage and libraries","Dollars","81","thousands","3","v1277496825","1.1.2","257663","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Heritage and libraries","Dollars","81","thousands","3","v1277496825","1.1.2","266294","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Heritage and libraries","Dollars","81","thousands","3","v1277496825","1.1.2","267735","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Heritage and libraries","Dollars","81","thousands","3","v1277496825","1.1.2","272359","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Heritage and libraries","Dollars","81","thousands","3","v1277496825","1.1.2","275567","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Archives","Dollars","81","thousands","3","v1277496826","1.1.3","7138","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Archives","Dollars","81","thousands","3","v1277496826","1.1.3","7230","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Archives","Dollars","81","thousands","3","v1277496826","1.1.3","7428","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Archives","Dollars","81","thousands","3","v1277496826","1.1.3","7586","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Archives","Dollars","81","thousands","3","v1277496826","1.1.3","7596","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Libraries","Dollars","81","thousands","3","v1277496827","1.1.4","36142","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Libraries","Dollars","81","thousands","3","v1277496827","1.1.4","36609","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Libraries","Dollars","81","thousands","3","v1277496827","1.1.4","37712","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Libraries","Dollars","81","thousands","3","v1277496827","1.1.4","38586","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Libraries","Dollars","81","thousands","3","v1277496827","1.1.4","38623","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Culture heritage","Dollars","81","thousands","3","v1277496828","1.1.5","142584","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Culture heritage","Dollars","81","thousands","3","v1277496828","1.1.5","148276","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Culture heritage","Dollars","81","thousands","3","v1277496828","1.1.5","148497","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Culture heritage","Dollars","81","thousands","3","v1277496828","1.1.5","151172","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Culture heritage","Dollars","81","thousands","3","v1277496828","1.1.5","153333","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Natural heritage","Dollars","81","thousands","3","v1277496829","1.1.6","71798","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Natural heritage","Dollars","81","thousands","3","v1277496829","1.1.6","74178","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Natural heritage","Dollars","81","thousands","3","v1277496829","1.1.6","74097","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Natural heritage","Dollars","81","thousands","3","v1277496829","1.1.6","75015","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Natural heritage","Dollars","81","thousands","3","v1277496829","1.1.6","76016","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Live performance","Dollars","81","thousands","3","v1277496830","1.1.7","938681","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Live performance","Dollars","81","thousands","3","v1277496830","1.1.7","965100","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Live performance","Dollars","81","thousands","3","v1277496830","1.1.7","976049","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Live performance","Dollars","81","thousands","3","v1277496830","1.1.7","1020619","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Live performance","Dollars","81","thousands","3","v1277496830","1.1.7","1017680","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Performing arts","Dollars","81","thousands","3","v1277496831","1.1.8","888526","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Performing arts","Dollars","81","thousands","3","v1277496831","1.1.8","912960","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Performing arts","Dollars","81","thousands","3","v1277496831","1.1.8","923787","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Performing arts","Dollars","81","thousands","3","v1277496831","1.1.8","967164","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Performing arts","Dollars","81","thousands","3","v1277496831","1.1.8","963296","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Festivals and celebrations","Dollars","81","thousands","3","v1277496832","1.1.9","50155","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Festivals and celebrations","Dollars","81","thousands","3","v1277496832","1.1.9","52140","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Festivals and celebrations","Dollars","81","thousands","3","v1277496832","1.1.9","52262","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Festivals and celebrations","Dollars","81","thousands","3","v1277496832","1.1.9","53454","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Festivals and celebrations","Dollars","81","thousands","3","v1277496832","1.1.9","54383","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Visual and applied arts","Dollars","81","thousands","3","v1277496833","1.1.10","3570873","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Visual and applied arts","Dollars","81","thousands","3","v1277496833","1.1.10","3614877","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Visual and applied arts","Dollars","81","thousands","3","v1277496833","1.1.10","3647607","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Visual and applied arts","Dollars","81","thousands","3","v1277496833","1.1.10","3666922","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Visual and applied arts","Dollars","81","thousands","3","v1277496833","1.1.10","3696492","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Original visual art","Dollars","81","thousands","3","v1277496834","1.1.11","75433","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Original visual art","Dollars","81","thousands","3","v1277496834","1.1.11","77473","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Original visual art","Dollars","81","thousands","3","v1277496834","1.1.11","77194","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Original visual art","Dollars","81","thousands","3","v1277496834","1.1.11","78734","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Original visual art","Dollars","81","thousands","3","v1277496834","1.1.11","80697","","","","0"
"2024-01","Canada","2016A000011124","Gross domestic product","Art reproductions","Dollars","81","thousands","3","v1277496835","1.1.12","11758","","","","0"
"2024-04","Canada","2016A000011124","Gross domestic product","Art reproductions","Dollars","81","thousands","3","v1277496835","1.1.12","11912","","","","0"
"2024-07","Canada","2016A000011124","Gross domestic product","Art reproductions","Dollars","81","thousands","3","v1277496835","1.1.12","11955","","","","0"
"2024-10","Canada","2016A000011124","Gross domestic product","Art reproductions","Dollars","81","thousands","3","v1277496835","1.1.12","12090","","","","0"
"2025-01","Canada","2016A000011124","Gross domestic product","Art reproductions","Dollars","81","thousands","3","v1277496835","1.1.12","12257","","","","0"
