"REF_DATE","GEO","DGUID","Trade","Domain","Trading partner","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Newfoundland and Labrador","2016A000210","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122672752","1.1.1.1","177.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122672752","1.1.1.1","188.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122672752","1.1.1.1","223.1","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122672752","1.1.1.1","265.1","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122672752","1.1.1.1","279.6","","","","1"
"2019","Prince Edward Island","2016A000211","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122673922","2.1.1.1","39.9","","","","1"
"2020","Prince Edward Island","2016A000211","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122673922","2.1.1.1","48.6","","","","1"
"2021","Prince Edward Island","2016A000211","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122673922","2.1.1.1","64.3","","","","1"
"2022","Prince Edward Island","2016A000211","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122673922","2.1.1.1","75.1","","","","1"
"2023","Prince Edward Island","2016A000211","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122673922","2.1.1.1","77.3","","","","1"
"2019","Nova Scotia","2016A000212","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122675092","3.1.1.1","400.9","","","","1"
"2020","Nova Scotia","2016A000212","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122675092","3.1.1.1","447.9","","","","1"
"2021","Nova Scotia","2016A000212","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122675092","3.1.1.1","525.0","","","","1"
"2022","Nova Scotia","2016A000212","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122675092","3.1.1.1","601.5","","","","1"
"2023","Nova Scotia","2016A000212","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122675092","3.1.1.1","635.2","","","","1"
"2019","New Brunswick","2016A000213","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122676262","4.1.1.1","267.4","","","","1"
"2020","New Brunswick","2016A000213","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122676262","4.1.1.1","308.7","","","","1"
"2021","New Brunswick","2016A000213","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122676262","4.1.1.1","344.9","","","","1"
"2022","New Brunswick","2016A000213","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122676262","4.1.1.1","396.3","","","","1"
"2023","New Brunswick","2016A000213","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122676262","4.1.1.1","406.9","","","","1"
"2019","Quebec","2016A000224","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122677432","5.1.1.1","3484.1","","","","1"
"2020","Quebec","2016A000224","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122677432","5.1.1.1","4316.9","","","","1"
"2021","Quebec","2016A000224","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122677432","5.1.1.1","5092.6","","","","1"
"2022","Quebec","2016A000224","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122677432","5.1.1.1","5588.6","","","","1"
"2023","Quebec","2016A000224","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122677432","5.1.1.1","5941.4","","","","1"
"2019","Ontario","2016A000235","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122678602","6.1.1.1","11020.3","","","","1"
"2020","Ontario","2016A000235","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122678602","6.1.1.1","12802.4","","","","1"
"2021","Ontario","2016A000235","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122678602","6.1.1.1","14853.0","","","","1"
"2022","Ontario","2016A000235","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122678602","6.1.1.1","16448.7","","","","1"
"2023","Ontario","2016A000235","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122678602","6.1.1.1","17080.9","","","","1"
"2019","Manitoba","2016A000246","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122679772","7.1.1.1","731.6","","","","1"
"2020","Manitoba","2016A000246","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122679772","7.1.1.1","838.3","","","","1"
"2021","Manitoba","2016A000246","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122679772","7.1.1.1","940.5","","","","1"
"2022","Manitoba","2016A000246","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122679772","7.1.1.1","1051.5","","","","1"
"2023","Manitoba","2016A000246","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122679772","7.1.1.1","1076.5","","","","1"
"2019","Saskatchewan","2016A000247","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122680942","8.1.1.1","603.9","","","","1"
"2020","Saskatchewan","2016A000247","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122680942","8.1.1.1","668.7","","","","1"
"2021","Saskatchewan","2016A000247","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122680942","8.1.1.1","770.2","","","","1"
"2022","Saskatchewan","2016A000247","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122680942","8.1.1.1","892.4","","","","1"
"2023","Saskatchewan","2016A000247","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122680942","8.1.1.1","930.0","","","","1"
"2019","Alberta","2016A000248","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122682112","9.1.1.1","2816.3","","","","1"
"2020","Alberta","2016A000248","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122682112","9.1.1.1","3242.6","","","","1"
"2021","Alberta","2016A000248","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122682112","9.1.1.1","3843.4","","","","1"
"2022","Alberta","2016A000248","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122682112","9.1.1.1","4316.1","","","","1"
"2023","Alberta","2016A000248","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122682112","9.1.1.1","4502.6","","","","1"
"2019","British Columbia","2016A000259","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122683282","10.1.1.1","2969.5","","","","1"
"2020","British Columbia","2016A000259","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122683282","10.1.1.1","3281.4","","","","1"
"2021","British Columbia","2016A000259","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122683282","10.1.1.1","3878.9","","","","1"
"2022","British Columbia","2016A000259","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122683282","10.1.1.1","4478.8","","","","1"
"2023","British Columbia","2016A000259","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122683282","10.1.1.1","4701.9","","","","1"
"2019","Yukon","2016A000260","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122684452","11.1.1.1","22.5","","","","1"
"2020","Yukon","2016A000260","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122684452","11.1.1.1","41.4","","","","1"
"2021","Yukon","2016A000260","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122684452","11.1.1.1","49.0","","","","1"
"2022","Yukon","2016A000260","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122684452","11.1.1.1","57.1","","","","1"
"2023","Yukon","2016A000260","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122684452","11.1.1.1","60.7","","","","1"
"2019","Northwest Territories","2016A000261","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122685622","12.1.1.1","43.9","","","","1"
"2020","Northwest Territories","2016A000261","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122685622","12.1.1.1","50.9","","","","1"
"2021","Northwest Territories","2016A000261","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122685622","12.1.1.1","56.5","","","","1"
"2022","Northwest Territories","2016A000261","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122685622","12.1.1.1","65.1","","","","1"
"2023","Northwest Territories","2016A000261","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122685622","12.1.1.1","66.3","","","","1"
"2019","Nunavut","2016A000262","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122686792","13.1.1.1","33.2","","","","1"
"2020","Nunavut","2016A000262","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122686792","13.1.1.1","44.5","","","","1"
"2021","Nunavut","2016A000262","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122686792","13.1.1.1","53.6","","","","1"
"2022","Nunavut","2016A000262","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122686792","13.1.1.1","62.7","","","","1"
"2023","Nunavut","2016A000262","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122686792","13.1.1.1","62.6","","","","1"
"2019","Outside Canada","","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122687962","14.1.1.1","0.0","","","","1"
"2020","Outside Canada","","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122687962","14.1.1.1","0.0","","","","1"
"2021","Outside Canada","","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122687962","14.1.1.1","0.0","","","","1"
"2022","Outside Canada","","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122687962","14.1.1.1","0.0","","","","1"
"2023","Outside Canada","","Imports from","Culture total","International","Canadian dollars","47","millions","6","v122687962","14.1.1.1","0.0","","","","1"


