category,subcategory,geography,metric_name,metric_value,unit,year_or_period,notes,source_page
Canada overview,,Canada,Visitor economy value,100,billion CAD,2024,Visitor economy surpassed this value in 2024,3
Econometric impact per $1B,Dynamic model,Canada,GDP impact per additional $1B in international visitor spending,1.26,billion CAD,,Incremental GDP generated per extra $1B in international visitor spending,4
Econometric impact per $1B,Dynamic model,Canada,Export impact per additional $1B in international visitor spending,96,million CAD,,Incremental exports generated per extra $1B in international visitor spending,4
Econometric impact per $1B,Dynamic model,Canada,FDI impact per additional $1B in international visitor spending,22,million CAD,,Incremental FDI generated per extra $1B in international visitor spending,4
Tourism spending & impact,,Canada,International tourism spending,27.3,billion CAD,2024,Total international tourism spending used in Deloitte model,4
Tourism spending & impact,,Canada,GDP contribution from $27.3B international tourism spending,31.05,billion CAD,2024,Total GDP impact (direct and downstream) estimated from international tourism spending,4
Tourism spending & impact,,Canada,Incremental exports from $27.3B international tourism spending,2.6,billion CAD,2024,Incremental exports estimated from international tourism spending,4
Tourism spending & impact,,Canada,Incremental FDI from $27.3B international tourism spending,0.601,billion CAD,2024,Equivalent to 601 million CAD incremental FDI,4
Tourism macro indicators,,Canada,Tourism share of GDP,1.8,percent,2024,Direct contribution of tourism to national GDP,5
Tourism macro indicators,,Canada,Tourism-supported jobs,708900,jobs,2024,Direct jobs supported by tourism,5
Population,,Canada,Population,41.3,million,,Population figure used in comparison table,5
Population,,Ireland,Population,5.3,million,,Population figure used in comparison table,5
Population,,Australia,Population,27.2,million,,Population figure used in comparison table,5
Population,,New Zealand,Population,5.3,million,,Population figure used in comparison table,5
Tourism macro indicators,,Ireland,Tourism share of GDP,4.4,percent,2019,Direct tourism GDP share; 2019 data,5
Tourism macro indicators,,Ireland,Tourism-supported jobs,284800,jobs,2019,Direct jobs supported by tourism; 2019 data,5
Tourism FDI,,Ireland,Value of tourism FDI,2.9,billion CAD,2016-2025,Total value of tourism-related FDI projects,06-May
Tourism FDI,,Ireland,Tourism FDI share of total FDI,2.3,percent,2016-2025,Tourism-related FDI as share of total FDI inflows,06-May
Tourism macro indicators,,Australia,Tourism share of GDP,2.9,percent,2023-2024,Direct tourism GDP share for July 2023 to June 2024 period,5
Tourism macro indicators,,Australia,Tourism-supported jobs,691500,jobs,2023-2024,Direct jobs supported by tourism for July 2023 to June 2024 period,5
Tourism FDI,,Australia,Value of tourism FDI,4.6,billion CAD,2016-2025,Total value of tourism-related FDI projects,06-May
Tourism FDI,,Australia,Tourism FDI share of total FDI,1.1,percent,2016-2025,Tourism-related FDI as share of total FDI inflows,06-May
Tourism macro indicators,,New Zealand,Tourism share of GDP,4.4,percent,2023-2024,Direct tourism GDP share for 2023-2024 financial year,5
Tourism macro indicators,,New Zealand,Tourism-supported jobs,182727,jobs,2024,Direct jobs supported by tourism,5
Tourism FDI,,New Zealand,Value of tourism FDI,2.2,billion CAD,2016-2025,Total value of tourism-related FDI projects,06-May
Tourism FDI,,New Zealand,Tourism FDI share of total FDI,6.7,percent,2016-2025,Tourism-related FDI as share of total FDI inflows,06-May
Tourism FDI,,Canada,Value of tourism FDI,3,billion CAD,2016-2025,Total value of tourism-related FDI projects,06-May
Tourism FDI,,Canada,Tourism FDI share of total FDI,0.9,percent,2016-2025,Tourism-related FDI as share of total FDI inflows,06-May
Tourism–FDI relationship,ASEAN study,ASEAN countries,FDI increase associated with 1% increase in tourist arrivals,1.93,percent,2004-2017,Panel analysis for ASEAN countries; 1% more tourist arrivals associated with 1.93% higher FDI inflows,7
Alberta overview,,Alberta,Tourism role among service exports,1,rank,,Tourism is Alberta’s #1 service export,10
Alberta overview,,Alberta,Tourism role among all export sectors,4,rank,,Tourism is Alberta’s fourth-largest export sector overall,10
Alberta target,,Alberta,Annual visitor spending target,25,billion CAD,Target 2035,Goal to grow annual visitor spending to this level by 2035,10
Econometric impact per $1B,Dynamic model,Alberta,GDP impact per additional $1B in international visitor spending,1.25,billion CAD,,Incremental GDP generated per extra $1B in international visitor spending,10
Econometric impact per $1B,Dynamic model,Alberta,Export impact per additional $1B in international visitor spending,83,million CAD,,Incremental exports generated per extra $1B in international visitor spending,10
Econometric impact per $1B,Dynamic model,Alberta,FDI impact per additional $1B in international visitor spending,15,million CAD,,Incremental FDI generated per extra $1B in international visitor spending,10
Growth comparison,,Alberta,Relative growth of visitor economy vs national average,4,times,2024,Alberta’s visitor economy grew four times faster than the national average in 2024,10
