date,unemployment_rate,region,date_label
2011-01-01,6.0,Alberta,2011-01-01T00:00:00
2011-02-01,5.9,Alberta,2011-02-01T00:00:00
2011-03-01,5.8,Alberta,2011-03-01T00:00:00
2011-04-01,5.8,Alberta,2011-04-01T00:00:00
2011-05-01,5.7,Alberta,2011-05-01T00:00:00
2011-06-01,5.7,Alberta,2011-06-01T00:00:00
2011-07-01,5.6,Alberta,2011-07-01T00:00:00
2011-08-01,5.6,Alberta,2011-08-01T00:00:00
2011-09-01,5.6,Alberta,2011-09-01T00:00:00
2011-10-01,5.4,Alberta,2011-10-01T00:00:00
2011-11-01,5.3,Alberta,2011-11-01T00:00:00
2011-12-01,5.0,Alberta,2011-12-01T00:00:00
2012-01-01,5.1,Alberta,2012-01-01T00:00:00
2012-02-01,5.0,Alberta,2012-02-01T00:00:00
2012-03-01,5.1,Alberta,2012-03-01T00:00:00
2012-04-01,5.0,Alberta,2012-04-01T00:00:00
2012-05-01,4.9,Alberta,2012-05-01T00:00:00
2012-06-01,4.7,Alberta,2012-06-01T00:00:00
2012-07-01,4.6,Alberta,2012-07-01T00:00:00
2012-08-01,4.5,Alberta,2012-08-01T00:00:00
2012-09-01,4.6,Alberta,2012-09-01T00:00:00
2012-10-01,4.6,Alberta,2012-10-01T00:00:00
2012-11-01,4.6,Alberta,2012-11-01T00:00:00
2012-12-01,4.7,Alberta,2012-12-01T00:00:00
2013-01-01,4.7,Alberta,2013-01-01T00:00:00
2013-02-01,4.7,Alberta,2013-02-01T00:00:00
2013-03-01,4.7,Alberta,2013-03-01T00:00:00
2013-04-01,4.6,Alberta,2013-04-01T00:00:00
2013-05-01,4.6,Alberta,2013-05-01T00:00:00
2013-06-01,4.6,Alberta,2013-06-01T00:00:00
2013-07-01,4.7,Alberta,2013-07-01T00:00:00
2013-08-01,4.7,Alberta,2013-08-01T00:00:00
2013-09-01,4.6,Alberta,2013-09-01T00:00:00
2013-10-01,4.6,Alberta,2013-10-01T00:00:00
2013-11-01,4.6,Alberta,2013-11-01T00:00:00
2013-12-01,4.8,Alberta,2013-12-01T00:00:00
2014-01-01,4.8,Alberta,2014-01-01T00:00:00
2014-02-01,4.8,Alberta,2014-02-01T00:00:00
2014-03-01,4.8,Alberta,2014-03-01T00:00:00
2014-04-01,4.9,Alberta,2014-04-01T00:00:00
