"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Population and dwellings,"Population, 2021",1,1418118,,,...,,...,,...,,...,,...
Population and dwellings,"Population, 2016",1,1321441,r,,...,,...,,...,,...,,...
Population and dwellings,"Population percentage change, 2016 to 2021",,7.3,,,...,,...,7.3,,,...,,...
Population and dwellings,Total private dwellings,2,589554,,,...,,...,,...,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,548624,,,...,,...,,...,,...,,...
Population and dwellings,Population density per square kilometre,,150.6,,,...,,...,150.6,,,...,,...
Population and dwellings,Land area in square kilometres,,9416.19,,,...,,...,,...,,...,,...
Age characteristics,Total - Age groups of the population - 100% data,,1418120,,705820,,712305,,100,,100,,100,
Age characteristics,  0 to 14 years,,263830,,135100,,128730,,18.6,,19.1,,18.1,
Age characteristics,    0 to 4 years,,83630,,42965,,40670,,5.9,,6.1,,5.7,
Age characteristics,    5 to 9 years,,91040,,46450,,44590,,6.4,,6.6,,6.3,
Age characteristics,    10 to 14 years,,89160,,45685,,43475,,6.3,,6.5,,6.1,
Age characteristics,  15 to 64 years,,949830,,476490,,473340,,67,,67.5,,66.5,
Age characteristics,    15 to 19 years,,80195,,41405,,38790,,5.7,,5.9,,5.4,
Age characteristics,    20 to 24 years,,88185,,45390,,42795,,6.2,,6.4,,6,
Age characteristics,    25 to 29 years,,99195,,49810,,49385,,7,,7.1,,6.9,
Age characteristics,    30 to 34 years,,113995,,56715,,57275,,8,,8,,8,
Age characteristics,    35 to 39 years,,116235,,58050,,58185,,8.2,,8.2,,8.2,
Age characteristics,    40 to 44 years,,102840,,51665,,51175,,7.3,,7.3,,7.2,
Age characteristics,    45 to 49 years,,90635,,45365,,45260,,6.4,,6.4,,6.4,
Age characteristics,    50 to 54 years,,85130,,42625,,42505,,6,,6,,6,
Age characteristics,    55 to 59 years,,88310,,43540,,44770,,6.2,,6.2,,6.3,
Age characteristics,    60 to 64 years,,85115,,41910,,43200,,6,,5.9,,6.1,
Age characteristics,  65 years and over,,204460,,94230,,110230,,14.4,,13.4,,15.5,
Age characteristics,    65 to 69 years,,69870,,33900,,35970,,4.9,,4.8,,5,
Age characteristics,    70 to 74 years,,52960,,25185,,27775,,3.7,,3.6,,3.9,
Age characteristics,    75 to 79 years,,33995,,15655,,18345,,2.4,,2.2,,2.6,
Age characteristics,    80 to 84 years,,23245,,10375,,12870,,1.6,,1.5,,1.8,
Age characteristics,    85 years and over,,24395,,9120,,15280,,1.7,,1.3,,2.1,
Age characteristics,      85 to 89 years,,15120,,6065,,9055,,1.1,,0.9,,1.3,
Age characteristics,      90 to 94 years,,7030,,2490,,4535,,0.5,,0.4,,0.6,
Age characteristics,      95 to 99 years,,1965,,495,,1475,,0.1,,0.1,,0.2,
Age characteristics,      100 years and over,,280,,65,,210,,0,,0,,0,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,18.6,,19.1,,18.1,,18.6,,19.1,,18.1,
Age characteristics,  15 to 64 years,,67,,67.5,,66.5,,67,,67.5,,66.5,
Age characteristics,  65 years and over,,14.4,,13.4,,15.5,,14.4,,13.4,,15.5,
Age characteristics,    85 years and over,,1.7,,1.3,,2.1,,1.7,,1.3,,2.1,
Age characteristics,Average age of the population,,38.8,,38,,39.5,,38.8,,38,,39.5,
Age characteristics,Median age of the population,,37.6,,37.2,,38.4,,37.6,,37.2,,38.4,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,548625,,,...,,...,100,,,...,,...
Household and dwelling characteristics,  Single-detached house,,309965,,,...,,...,56.5,,,...,,...
