date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-11-27,-4.7,-9.1,-9.44,-14.2,,-17,90,84.3,80.5,71,-9.2,-11.3,-12.3,-15.5,34,9.71,17,0,45,36,103.31,103.06,103.09,102.88,89.9,89.66,89.68,89.46,64400,25504.2,33000,1600,5,3.4,3.7,2.4,27.4,0,0,0,0,0,0,0,13,08:12:00,1764256320,8.2,16:36:00,1764286560,16.6,8.4,1,1,-6,-6,-10,-9,,,,,,8,5,4,0,,,,
2025-11-26,-1.7,-8.62,-7.65,-13.6,,-17,86,78.7,74,62,-7.6,-11.8,-12.1,-16.6,11,4.17,5.5,0,,,103.34,102.9,102.91,102.49,89.88,89.51,89.53,89.19,64400,40891.7,44250,24100,4.1,3.3,3,2,25.6,0,0,0,0,0,0,0,12,08:10:00,1764169800,8.17,16:36:00,1764200160,16.6,8.43,1,1,-3,-3,-16,-10,,,,,,8,5,4,0,,,,
2025-11-25,-3.6,-9.29,-9.3,-15,,-16,93,84.2,79,65,-8.5,-11.6,-11.4,-14.4,10,6.12,5,0,,,103.25,103,102.92,102.58,89.77,89.59,89.51,89.25,64400,39550,44250,24100,3.7,3,3,2.2,27.3,0,0,0,0,0,0,0,14,08:09:00,1764083340,8.15,16:37:00,1764113820,16.62,8.47,1,1,-3,-3,-10,-9,,,,,,7,3.3,3.5,0,,,,
2025-11-24,-1.2,-4.68,-7.94,-14.7,,-18,95,88.5,86,77,-2.2,-6.3,-9.2,-16.3,20,10.33,10,0,37,35,103.1,102.34,102.43,101.77,89.73,89.19,89.24,88.75,48300,13862.5,24550,800,3.6,2.5,2.3,1,25.9,0,0,0,0,11.7,1.5,10.2,4,08:07:00,1763996820,8.12,16:38:00,1764027480,16.63,8.52,,,-1,-1,-15,-9,,,,,,8,6,4.5,1,,,,
2025-11-23,5,-0.97,0.75,-3.5,,-9,96,85.4,80.5,65,-1.5,-3.2,-4,-6.4,22,10.5,13,4,35,35,101.96,101.6,101.47,100.98,88.88,88.64,88.53,88.18,24100,17354.2,13650,3200,4,2.6,3,2,17.2,0,0,0,0,0,0,0,0,08:06:00,1763910360,8.1,16:39:00,1763941140,16.65,8.55,,,0,1,-4,-3,,,,,,8,6.5,4,0,,,,
2025-11-22,11.8,3.62,4.35,-3.1,,-5,73,54.3,51.5,30,-4.2,-5.1,-5.3,-6.4,27,7.71,15,3,42,27,101.65,101.28,101.28,100.92,88.81,88.42,88.49,88.17,64400,36195.8,44250,24100,4,3,3.2,2.4,13.7,0,0,0,0,0,0,0,,08:04:00,1763823840,8.07,16:40:00,1763854800,16.67,8.6,1,1,8,8,-3,0,,,,,,8,5.6,4,0,,,,
2025-11-21,11.1,6.47,6.1,1.1,,,54,42.1,43.5,33,-4.3,-5.6,-6,-7.6,32,14.5,16,0,59,31,101.59,101.14,101.23,100.87,88.76,88.36,88.44,88.11,64400,35320.8,41850,19300,4,2.9,3.1,2.3,11.9,0,1.1,0,0,0,0,0,0,08:02:00,1763737320,8.03,16:41:00,1763768460,16.68,8.65,1,1,9,9,-1,0,,,,,,8,4.8,4,0,,,,
2025-11-20,6.9,0.6,-0.25,-7.4,,-9,90,62.5,62.5,35,-5,-6.6,-6.8,-8.7,30,9.21,15,0,48,29,101.83,101.52,101.51,101.19,88.81,88.52,88.57,88.34,64400,37537.5,44250,24100,2.9,2.4,2.3,1.7,18.2,0,0,0,0,0,0,0,,08:01:00,1763650860,8.02,16:42:00,1763682120,16.7,8.68,1,1,4,4,-2,-1,,,,,,8,3.8,4,0,,,,
2025-11-19,5.9,0.02,-0.54,-7,,-7,93,76.8,69.5,46,-1.3,-3.8,-4.3,-7.4,14,7.5,7,0,33,32,102.3,102.09,102.09,101.88,89.22,89.04,89.03,88.83,64400,40921.7,44250,24100,3,2.4,2.5,2.1,18.5,0,0,0,0,0,0,0,1,07:59:00,1763564340,7.98,16:44:00,1763595840,16.73,8.75,1,1,5,5,-7,-6,,,,,,7,1.7,3.5,0,,,,
2025-11-18,0.9,-1.3,-2.04,-5,,-8,95,86.5,84.5,74,-1.1,-3.3,-3.6,-6.1,32,9.38,16,0,42,33,101.92,101.57,101.61,101.31,88.89,88.6,88.61,88.32,24100,15987.5,13250,2400,3,2.5,2.4,1.8,20,0,0,0,0,2.5,1.1,1.4,1,07:57:00,1763477820,7.95,16:45:00,1763509500,16.75,8.8,,,0,2,-4,-3,,,,,,8,6.5,4.5,1,,,,
2025-11-17,14.4,5.05,7,-0.4,,-4,89,70.3,64,39,2.9,-0.4,0,-3,27,11.83,15,3,39,36,101.57,100.75,100.88,100.19,88.71,87.99,88.1,87.48,64400,40891.7,44250,24100,3,2.3,2.4,1.8,11,0,2,0,0,0,0,0,,07:56:00,1763391360,7.93,16:46:00,1763423160,16.77,8.83,1,1,8,15,-2,-1,,,,,,8,5.2,4.5,1,,,,
2025-11-16,7.8,2.42,3.09,-1.6,,-3,85,74.5,73.5,62,0.5,-1.7,-1.7,-3.9,16,7.38,8,0,,,101.15,100.64,100.68,100.21,88.4,87.86,87.95,87.5,64400,40891.7,44250,24100,3,2.4,2.5,2.1,14.9,0,0,0,0,0,0,0,,07:54:00,1763304840,7.9,16:47:00,1763336820,16.78,8.88,1,1,7,7,0,1,,,,,,8,6.7,5.5,3,,,,
