title,wiki,trends,youtube,chartmetric,category,gender,source,notes1,notes2,IntentRatio
A Month in the Country,0.088084481,0.0,0.026314851,23.78559644,romantic_tragedy,female,external_reference,Ashton romantic ballet,Chopin  household classical name.,0.4
A Streetcar Named Desire,20.81431909,3.726868389,0.07423905,0.0,adult_literary_drama,female,external_reference,Tennessee Williams drama,Score by Peter Salem; not a public music brand.,0.25
Adagio Hammerklavier,0.021882542,0.011061868,0.0,24.19625565,contemporary,co,external_reference,Van Manen abstract work,Beethoven  household classical name.,0.5
Addams Family,61.02371866,48.15745392,23.15068493,37.21540779,pop_ip,male,external_reference,,Strong film/musical brand; recognizable property.,0.1
After the Rain,0.071227583,0.013827336,0.0,20.55555556,contemporary,co,external_reference,Wheeldon romantic duet,Arvo Part  modern classical niche with decent streams.,0.5
Afternoon of a Faun,0.698048177,0.0,0.031953747,23.57793559,contemporary,male,external_reference,Robbins/Nijinsky classic,Debussy  household classical name.,0.5
Agon,0.000317786,0.0,0.024435219,20.88408292,contemporary,co,external_reference,Balanchine neoclassical,Stravinsky  household classical name.,0.5
Aladdin,14.01930288,61.48011259,61.32970386,0.0,family_classic,male,external_reference,High pop culture recognition,Ballet score (Talbot) isnt what the public knows.,0.1
Alice in Wonderland,0.76119457,56.77527164,19.78883115,0.0,family_classic,female,historical,"Ballet score (Talbot); public recognition is story, not music.",,0.1
All of Us,0.0,0.0,0.0,82.81041532,pop_ip,co,historical,Uses The Tragically Hip  major Canadian rock band.,,0.25
Allegro Brillante,0.048844323,0.0,0.0,23.61129044,contemporary,co,external_reference,Balanchine neoclassical,Tchaikovsky  household classical name.,0.5
Anastasia,0.222572556,0.016592802,0.0,16.02969657,adult_literary_drama,female,external_reference,MacMillan dramatic ballet,"Martin/Tchaikovsky  classical, not a pop signal.",0.35
Angels' Atlas,0.016211989,0.0,0.0,0.0,contemporary,co,external_reference,Pite contemporary,Owen Belton + choral works; niche/collage.,0.5
Anna Karenina,26.20036065,8.83699526,1.187824796,0.0,adult_literary_drama,female,external_reference,Tolstoy literary classic,"Demutsky  contemporary ballet composer, not public brand.",0.25
Apollo,0.487530435,0.044247474,0.030074115,20.88408292,contemporary,male,external_reference,Greek mythology theme,Stravinsky  household classical name.,0.5
Appalachian Spring,2.210843073,0.0,0.026314851,19.70124094,contemporary,female,external_reference,Martha Graham classic,Copland  very well-known classical but still art music.,0.5
Approximate Sonata,0.0,0.027654671,0.031953747,0.0,contemporary,co,external_reference,Forsythe abstract,Thom Willems  Forsythes composer; niche.,0.5
Artifact,0.001385348,0.044247474,0.028194483,0.0,contemporary_mixed_bill,co,external_reference,Forsythe abstract,Willems + Bach collage; not a clean popularity proxy.,0.5
Artifact Suite,0.0,0.0,0.052629702,0.0,contemporary,co,external_reference,Forsythe abstract work,Same as above.,0.5
Autobiography,0.0,0.016592802,0.0,0.0,contemporary,co,external_reference,Contemporary work,Jlin is niche experimental; streams dont map to ballet audience.,0.5
Away We Go,0.0,0.01935827,0.024435219,0.0,contemporary_mixed_bill,female,historical,Mixed bill title; no single score.,,0.5
Balanchine,4.499536435,0.099556816,0.090222346,0.0,contemporary_mixed_bill,co,external_reference,"Choreographer, not a specific ballet.",,0.5
Ballet BC,0.053209852,1.169792583,0.0,0.0,touring_contemporary_company,co,historical,Company.,,0.35
Ballet Imperial,0.003659504,0.002765467,0.022555586,23.61129044,contemporary,co,external_reference,Balanchine neoclassical,Tchaikovsky concerto  household classical name.,0.5
Ballet Jazz de Montreal,0.0,0.0,0.0,0.0,pop_ip,co,historical,Leonard Cohen,,0.25
Balletboyz,0.042921093,0.030420138,0.0,0.0,touring_contemporary_company,male,historical,Company.,,0.35
BalletX,0.0,0.0,0.0,0.0,touring_contemporary_company,co,external_reference,Company.,,0.35
Beauty and the Beast,14.4233128,51.41844899,51.6786274,0.692920164,family_classic,female,external_reference,Disney/Menken association; very strong music/property brand.,,0.1
Beethoven,69.83104558,53.2510462,86.8596882,24.19625565,contemporary,co,external_reference,"Generic; classical composer, not title-specific.",,0.35
Bella Figura,0.109495419,0.0,0.0,0.0,contemporary,co,external_reference,Kylian contemporary,Multi-composer collage; no single music popularity signal.,0.5
Betroffenheit,0.0,0.0,0.0,0.0,contemporary,co,external_reference,Pite/Young theatrical,Sound design + niche composer; not a streaming brand.,0.5
Billy the Kid,0.328044742,0.033185605,0.0,19.70124094,contemporary,male,external_reference,American Western theme,Copland  well-known classical.,0.5
Birthday Offering,0.020606858,0.0,0.026314851,18.57793558,contemporary,co,external_reference,Ashton celebration piece,"Glazunov et al.  classical, but not especially famous.",0.5
Black Cake,0.0,0.0,0.0,0.0,contemporary,co,external_reference,Contemporary work,Collage of baroque/other composers.,0.5
Blake Works,0.066465188,0.016592802,0.026314851,94.82676996,contemporary,co,external_reference,Forsythe/James Blake,James Blake  mainstream recording artist.,0.5
Blanche Neige,0.07336074,0.027654671,0.0,21.72118212,family_classic,female,external_reference,French Snow White,Uses Mahler  household classical but niche for audiences.,0.25
Body and Soul,0.0,0.0,0.0,0.0,contemporary,co,external_reference,Pite contemporary,Electronic score; composer(s) not a broad public brand.,0.5
Botero,0.106260958,0.058074809,0.067666759,0.0,contemporary,male,historical,Production-specific Latin mix; no consistent source.,,0.5
Brandenburg,0.018433014,0.0,0.028194483,24.24754322,contemporary,co,external_reference,Bach music ballet,Bach  household classical name.,0.5
Caravaggio,22.14690196,7.134905117,0.033073569,0.0,adult_literary_drama,male,external_reference,Bruno Moretti  obscure to public.,,0.25
Carbon Life,0.0,0.0,0.0,98.83509074,contemporary,co,external_reference,McGregor contemporary,Mark Ronson/Andrew Wyatt  pop producers with strong profiles.,0.5
Carmen,15.5252568,0.157631625,94.06392694,10.06455778,romantic_tragedy,female,external_reference,Highly recognizable dramatic story,"Bizet/Shchedrin  very famous classical, but not pop.",0.3
Carmina Burana,3.979259568,3.492784946,4.120153777,20.10544438,adult_literary_drama,female,external_reference,Orff  hugely known classical cantata.,,0.35
Charlie Chaplin,100.0,19.70042014,13.00833127,20.22595223,family_classic,male,external_reference,"Film music niche; name recognition, music less so.",,0.1
Charlotte's Web,14.2020499,8.361224828,4.033655036,0.0,family_classic,female,external_reference,E.B. White children's classic,Childrens ballet; music isnt a known brand.,0.15
Chopiniana,0.00951487,0.016592802,0.0,23.78559644,romantic_tragedy,female,external_reference,Romantic era ballet,Chopin  household classical name.,0.4
Chroma,0.088436699,0.024889204,0.045111173,85.18398967,contemporary_mixed_bill,co,external_reference,McGregor/White Stripes,Uses The White Stripes tracks alongside Talbot.,0.5
Cinderella,23.33055081,99.83249581,100.0,22.17344523,family_classic,female,historical, highest demand title,Prokofiev  household classical; story does the work.,0.1
Complexions,0.0,0.022123737,0.013157425,0.0,pop_ip,co,historical,Company.,,0.25
Concerto,0.036578166,0.0,0.0,22.17344523,contemporary,co,external_reference,MacMillan neoclassical,Prokofiev piano concerto  classical name.,0.5
