fiscal_year,title,prod_expense
2025,La Sylphide,482857
2025,Grimm,326210
2025,Winter Gala,139424
2025,Dance Theatre of Harlem,475255
2025,Wizard of Oz,471083
2025,Don Quixote,562730
2024,Dona Peron,439551
2024,Sleeping Beauty,460857
2024,Winter Gala,88783
2024,Hansel & Gretel,559150
2024,Der Wolf & Rite of Spring,587957
2023,Handmaid's Tale,595953
2023,Away We Go - Mixed Bill,447433
2023,Complexions - Lenny Kravitz,388366
2023,Giselle,514543
2023,Botero,486575
2022,Swan Lake,563761
2022,Phi - David Bowie,840270
2022,Cinderella,557181
2020,Taj Express,
2020,Frankenstein,
2020,Diavolo,
2020,Unleashed - Mixed Bill,
2019,BJM - Leonard Cohen,294687
2019,Sleeping Beauty,1158096
2019,Ballet BC,225017
2019,deViate - Mixed Bill,490781
2019,Midsummer Night's Dream,641527
2019,Fiddle & the Drum - Joni Mitchell,447942
2018,Tango Fire,225245
2018,Dangerous Liaisons,532117
2018,Shaping Sound,320248
2018,Momix,204456
2018,Cinderella,685376
2018,All of Us - Tragically Hip,641653
