title,tickets
Alice in Wonderland,11216
All of Us - Tragically Hip,15488
Away We Go – Mixed Bill,4649
Ballet BC,4013
Ballet Boyz,7401
BJM - Leonard Cohen,7819
Botero,5460
Cinderella,16304
Complexions - Lenny Kravitz,7096
Dance Theatre of Harlem,7269
Dangerous Liaisons,6875
deViate - Mixed Bill,5144
Der Wolf,2397
Diavolo,10673
Don Quixote,5650
Dona Peron,5221
Dracula,11285
Fiddle & the Drum – Joni Mitchell,6024
Frankenstein,10470
Giselle,9111
Grimm,6362
Handmaid's Tale,6842
Hansel & Gretel,7290
La Sylphide,5221
Midsummer Night’s Dream,6587
Momix,8391
Nijinsky,4752
Once Upon a Time,6190
Our Canada - Gordon Lightfoot,10138
Phi – David Bowie,12336
Rite of Spring,2396
Shaping Sound,10208
Sleeping Beauty,9596.5
Swan Lake,13157
Taj Express,10314
Tango Fire,7251
Trockadero,5476
Unleashed – Mixed Bill,5221
Winter Gala,1321
Wizard of Oz,8468
