title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
A Streetcar Named Desire,a streetcar named desire,adult_literary_drama,female,70,28,80,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Addams Family,addams family,pop_ip,male,83,26,95,76,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
After the Rain,after the rain,contemporary,co,54,18,68,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Aladdin,aladdin,family_classic,male,80,42,98,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Alice in Wonderland,alice in wonderland,family_classic,female,83,38,96,68,5812.0,1.0,5812.0,8.684462696783026,0,0,1,3.0,0,5812.0
All of Us - Tragically Hip,all of us - tragically hip,pop_ip,co,70,52,71,75,7430.0,1.0,7430.0,7.553730321697468,0,0,1,5.0,0,7430.0
Apollo,apollo,contemporary,male,58,20,70,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Appalachian Spring,appalachian spring,contemporary,female,60,16,74,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Artifact,artifact,contemporary_mixed_bill,co,50,14,60,35,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Away We Go – Mixed Bill,away we go - mixed bill,contemporary_mixed_bill,female,85,46,98,56,2174.0,1.0,2174.0,3.0691307323750854,0,1,1,11.0,1,2174.0
BJM - Leonard Cohen,bjm - leonard cohen,pop_ip,co,40,38,100,68,0.0,0.0,0.0,7.189596167008898,0,0,1,9.0,0,0.0
Balanchine,balanchine,contemporary_mixed_bill,co,47,82,53,0,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Ballet BC,ballet bc,touring_contemporary_company,co,35,18,54,45,1926.0,1.0,1926.0,6.852840520191649,0,0,1,1.0,1,1926.0
Ballet Boyz,ballet boyz,touring_contemporary_company,male,33,22,84,34,3670.0,1.0,3670.0,8.761122518822724,0,0,1,2.0,0,3670.0
Beauty and the Beast,beauty and the beast,family_classic,female,75,40,100,83,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Beethoven,beethoven,contemporary,co,88,18,100,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Billy the Kid,billy the kid,contemporary,male,52,18,65,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Botero,botero,contemporary,male,70,12,87,49,1944.0,1.0,1944.0,2.5516769336071183,0,1,1,5.0,0,1944.0
Caravaggio,caravaggio,adult_literary_drama,male,81,20,85,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Carmen,carmen,romantic_tragedy,female,82,38,92,75,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
