year_month,show_count,median_tickets,mean_tickets,avg_consumer_confidence,avg_energy_index,avg_inflation_factor,avg_median_income,avg_engagement_factor
2015-10,1,6531.0,6531.0,50.41,746.34,0.9437134502923976,98000.0,1.073
2016-01,1,5476.0,5476.0,50.41,926.37,0.9466374269005848,98000.0,1.051
2016-02,1,2039.0,2039.0,50.41,926.37,0.9480994152046782,98000.0,1.051
2016-03,1,6536.0,6536.0,50.41,926.37,0.949561403508772,98000.0,1.073
2016-05,1,5303.0,5303.0,50.41,926.37,0.9539473684210524,98000.0,1.077
2016-09,1,3258.0,3258.0,50.41,926.37,0.956140350877193,98000.0,1.051
2016-10,1,3132.0,3132.0,50.41,926.37,0.9568713450292398,98000.0,1.08
2017-01,1,8721.0,8721.0,50.41,1036.49,0.962719298245614,98000.0,1.051
2017-02,1,4386.0,4386.0,50.41,1036.49,0.9685672514619882,98000.0,1.051
2017-05,1,11377.0,11377.0,50.41,1036.49,0.9751461988304092,98000.0,1.077
2018-01,1,1339.0,1339.0,50.41,1007.66,0.9766081871345028,98000.0,1.051
2018-02,1,1780.0,1780.0,50.41,1007.66,0.983187134502924,98000.0,1.051
2018-09,1,6615.0,6615.0,50.41,1007.66,0.9956140350877192,98000.0,1.051
2018-10,1,6753.0,6753.0,50.41,1007.66,0.9985380116959064,98000.0,1.08
2019-01,1,6942.0,6942.0,50.41,704.41,1.0,98000.0,1.051
2020-10,1,9190.0,9190.0,50.41,1303.78,1.0519005847953216,98000.0,1.073
2021-04,1,23953.0,23953.0,50.41,1866.88,1.095029239766082,98000.0,1.073
2021-09,1,3691.0,3691.0,50.41,1866.88,1.1162280701754383,98000.0,1.08
2022-02,1,3965.0,3965.0,50.41,1391.67,1.1293859649122806,98000.0,1.077
2022-03,1,5930.0,5930.0,50.41,1391.67,1.135233918128655,98000.0,1.073
2022-05,1,2331.0,2331.0,50.41,1391.67,1.1476608187134505,98000.0,1.051
2022-09,1,2613.0,2613.0,50.41,1391.67,1.158625730994152,98000.0,1.08
2022-10,1,12999.0,12999.0,50.41,1391.67,1.1593567251461987,98000.0,1.077
2023-03,1,4648.0,4648.0,50.41,1375.17,1.16812865497076,98000.0,1.073
2023-09,1,2574.0,2574.0,50.41,1375.17,1.1776315789473684,98000.0,1.073
2023-10,1,3705.0,3705.0,50.41,1375.17,1.182748538011696,98000.0,1.073
2024-01,1,1469.0,1469.0,50.41,1375.17,1.179093567251462,98000.0,1.051
2024-02,1,4515.0,4515.0,50.41,1375.17,1.1915204678362572,98000.0,1.051
2024-03,1,5632.0,5632.0,50.41,1375.17,1.1951754385964912,98000.0,1.073
2024-05,1,2949.0,2949.0,50.41,1375.17,1.2010233918128654,98000.0,1.077
2024-10,1,1592.0,1592.0,50.41,1375.17,1.2083333333333333,98000.0,1.051
