year,show_count,median_tickets,mean_tickets,std_tickets,avg_consumer_confidence,avg_energy_index,avg_inflation_factor,avg_median_income,avg_engagement_factor
2015,5,3198.0,4230.6,2809.209995710538,50.41,712.796,0.9887426900584796,98000.0,1.065
2016,6,4280.5,4290.666666666667,1729.177106795792,50.41,926.37,0.9518762183235867,98000.0,1.0638333333333334
2017,3,8721.0,8161.333333333333,3528.9432318093945,50.41,1036.49,0.9688109161793371,98000.0,1.0596666666666665
2018,4,4197.5,4121.75,2964.6395368296185,50.41,1007.66,0.988486842105263,98000.0,1.05825
2019,1,6942.0,6942.0,,50.41,704.41,1.0,98000.0,1.051
2020,1,9190.0,9190.0,,50.41,1303.78,1.0519005847953216,98000.0,1.073
2021,2,13822.0,13822.0,14327.397600401826,50.41,1866.88,1.1056286549707601,98000.0,1.0765
2022,5,3965.0,5567.6,4391.201635088054,50.41,1391.67,1.1460526315789472,98000.0,1.0715999999999999
2023,3,3705.0,3642.3333333333335,1038.4191510817457,50.41,1375.17,1.1761695906432748,98000.0,1.073
2024,5,2949.0,3231.4,1822.3573469547623,50.41,1375.17,1.1950292397660818,98000.0,1.0606
