feature,importance
num__spotify,0.34695238
num__prior_total_tickets,0.21497057
num__youtube,0.14115751
cat__end_date_2023-04-30,0.093972854
cat__end_date_2020-04-30,0.070883974
num__trends,0.059069276
num__wiki,0.058507375
cat__end_date_2020-10-31,0.00723043
cat__gender_co,0.0060047368
cat__gender_female,0.0008290586
num__years_since_last_run,0.00042183307
cat__end_date_2020-07-31,0.0
cat__end_date_2021-04-30,0.0
cat__end_date_2021-07-31,0.0
cat__end_date_2021-10-31,0.0
cat__end_date_2021-01-31,0.0
cat__end_date_2020-01-31,0.0
num__is_remount_recent,0.0
cat__end_date_2022-07-31,0.0
cat__end_date_2022-04-30,0.0
cat__end_date_2022-01-31,0.0
cat__end_date_2022-10-31,0.0
cat__end_date_2023-10-31,0.0
cat__end_date_2024-01-31,0.0
cat__end_date_2023-01-31,0.0
cat__end_date_2023-07-31,0.0
cat__end_date_2024-07-31,0.0
cat__end_date_2024-04-30,0.0
cat__end_date_2024-10-31,0.0
cat__category_classic_romance,0.0
cat__category_family_classic,0.0
cat__category_contemporary,0.0
cat__gender_male,0.0
cat__gender_na,0.0
