feature,importance_type,value,std
num__prior_total_tickets,tree,0.893710732460022,
num__ticket_median_prior,tree,0.09412218630313873,
num__trends,tree,0.005287693813443184,
num__youtube,tree,0.004393182694911957,
num__wiki,tree,0.002486167009919882,
num__chartmetric,tree,0.0,
num__prior_run_count,tree,0.0,
num__years_since_last_run,tree,0.0,
num__is_remount_recent,tree,0.0,
num__is_remount_medium,tree,0.0,
num__run_count_prior,tree,0.0,
num__month_of_opening,tree,0.0,
num__holiday_flag,tree,0.0,
cat__category_adult_literary_drama,tree,0.0,
cat__category_classic_comedy,tree,0.0,
cat__category_classic_romance,tree,0.0,
cat__category_contemporary,tree,0.0,
cat__category_contemporary_mixed_bill,tree,0.0,
cat__category_family_classic,tree,0.0,
cat__category_pop_ip,tree,0.0,
cat__category_romantic_tragedy,tree,0.0,
cat__category_touring_contemporary_company,tree,0.0,
cat__gender_co,tree,0.0,
cat__gender_female,tree,0.0,
cat__gender_male,tree,0.0,
prior_total_tickets,permutation,1.6960497214182286,0.23369992061205414
ticket_median_prior,permutation,0.08161820598773167,0.015793275480293564
wiki,permutation,0.03327250421876915,0.011333570433509434
youtube,permutation,0.0003113748233724789,0.00016056161266007576
trends,permutation,1.1967601975804154e-05,5.45566257305057e-06
chartmetric,permutation,0.0,0.0
prior_run_count,permutation,0.0,0.0
years_since_last_run,permutation,0.0,0.0
is_remount_recent,permutation,0.0,0.0
is_remount_medium,permutation,0.0,0.0
run_count_prior,permutation,0.0,0.0
month_of_opening,permutation,0.0,0.0
holiday_flag,permutation,0.0,0.0
category,permutation,0.0,0.0
gender,permutation,0.0,0.0
