show_title,category,base_score,score_with_all_weights,score_without_live_analytics,score_without_economics,score_without_stone_olafson,delta_live_analytics,delta_economics,delta_stone_olafson,aud__engagement_factor,consumer_confidence_prairies,energy_index,inflation_adjustment_factor
A Streetcar Named Desire,adult_literary_drama,55.15,63.45293529960001,58.752717870000005,62.54010000000001,60.431366952000005,4.700217429600002,0.9128352995999975,3.0215683476000024,1.08,50.0,1036.49,1.0
Addams Family,pop_ip,64.85000000000001,74.40602924601001,69.08637813000003,73.33562250000001,70.86288499620001,5.319651116009979,1.0704067460099935,3.5431442498099983,1.077,50.0,1036.49,1.0
After the Rain,contemporary,42.3,47.36150868834,45.06328134,46.680164999999995,45.1061987508,2.2982273483399993,0.6813436883400072,2.255309937540005,1.051,50.0,1036.49,1.0
Aladdin,family_classic,68.3,78.07336004622002,72.76175214,76.95019500000001,74.35558099640001,5.3116079062200185,1.1231650462200093,3.7177790498200096,1.073,50.0,1036.49,1.0
Alice in Wonderland,family_classic,67.25,72.57562634263422,67.63804878157895,75.7672125,69.11964413584211,4.937577561055278,-3.1915861573657764,3.4559822067921147,1.073,50.41,926.37,0.949561403508772
All of Us - Tragically Hip,pop_ip,65.35,74.61048718392314,69.27621836947367,73.90104749999999,71.05760684183156,5.334268814449473,0.7094396839231507,3.5528803420915835,1.077,50.41,1036.49,0.9751461988304092
Apollo,contemporary,44.2,49.48885777836001,47.087400360000004,48.77691,47.132245503200004,2.4014574183600033,0.7119477783600061,2.3566122751600034,1.051,50.0,1036.49,1.0
Appalachian Spring,contemporary,45.599999999999994,51.05637816047999,48.57885647999999,50.32187999999999,48.62512205759999,2.4775216804799953,0.7344981604799941,2.431256102879999,1.051,50.0,1036.49,1.0
Artifact,contemporary_mixed_bill,36.95,41.37134151381001,39.363788310000004,40.77617250000001,39.40127763220001,2.007553203810005,0.5951690138100005,1.9700638816100025,1.051,50.0,1036.49,1.0
Away We Go – Mixed Bill,contemporary_mixed_bill,68.95,67.28040299904,64.01560704000002,76.0897725,64.0765742848,3.2647959590399864,-8.809369500959988,3.2038287142400037,1.051,50.41,704.41,1.0
BJM - Leonard Cohen,pop_ip,43.599999999999994,50.024716655759995,46.44820488,49.30506,47.642587291199995,3.5765117757599967,0.7196566557599979,2.382129364560001,1.077,50.0,1036.49,1.0
Balanchine,contemporary_mixed_bill,50.45,56.486716627110006,53.74568661000001,55.6740975,53.79687297820001,2.741030017109999,0.8126191271100041,2.6898436489099993,1.051,50.0,1036.49,1.0
Ballet BC,touring_contemporary_company,31.4,34.599716509753684,32.92075785894737,34.651469999999996,32.95211096167017,1.6789586508063152,-0.051753490246312595,1.6476055480835115,1.051,50.41,1007.66,0.9766081871345028
Ballet Boyz,touring_contemporary_company,29.85,31.5389282621479,30.00849501631579,32.9409675,30.03707453537895,1.530433245832107,-1.402039237852101,1.5018537267689496,1.051,50.41,926.37,0.9480994152046782
Beauty and the Beast,family_classic,65.7,75.10131412938001,69.99190506000001,74.020905,71.52506107560001,5.109409069380007,1.0804091293800155,3.5762530537800075,1.073,50.0,1036.49,1.0
Beethoven,contemporary,62.050000000000004,69.47474265039,66.10346589000001,68.4752775,66.1664215718,3.371276760389989,0.9994651503899945,3.308321078589998,1.051,50.0,1036.49,1.0
Billy the Kid,contemporary,40.75,45.62603969385,43.412026350000005,44.9696625,43.453371137,2.2140133438499916,0.6563771938499983,2.172668556849999,1.051,50.0,1036.49,1.0
Botero,contemporary,49.45,65.67162909902737,62.484899237894744,54.5705475,62.544408665740356,3.1867298611326262,11.101081599027367,3.1272204332870146,1.051,50.41,1391.67,1.1476608187134505
Caravaggio,adult_literary_drama,57.300000000000004,65.92662180720001,61.043168340000015,64.97820000000002,62.78725886400001,4.883453467199992,0.9484218071999919,3.1393629431999983,1.08,50.0,1036.49,1.0
